player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,safety_md,awards
GeorJe00,Jeff George,QB,1995,28,ATL,NFL,QB,1,1,0,0,0,0,0,0,1,1,-2,0,0.0,0,0,
GeorJe00,Jeff George,QB,,,,,,,,,,,,,,,,,,,,,
GeorJe00,Jeff George,QB,1999,32,MIN,NFL,QB,2,2,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,
