player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
StafMa00,Matthew Stafford,QB,2009,21,DET,NFL,QB,10,10,2-8-0,201,377,53.3,2267,13,3.4,20,5.3,111,39.4,75,6.0,4.32,11.3,226.7,61.0,37.1,24,169,5.99,5.23,3.64,1,1,3,
StafMa00,Matthew Stafford,QB,2010,22,DET,NFL,QB,3,3,1-2-0,57,96,59.4,535,6,6.3,1,1.0,28,40.0,36,5.6,6.35,9.4,178.3,91.3,50.1,4,36,4.00,4.99,5.74,1,1,2,
StafMa00,Matthew Stafford,QB,2011,23,DET,NFL,QB,16,16,10-6-0,421,663,63.5,5038,41,6.2,16,2.4,243,49.8,73,7.6,7.75,12.0,314.9,97.2,60.5,36,257,5.15,6.84,6.98,3,4,16,AP CPoY-1
StafMa00,Matthew Stafford,QB,2012,24,DET,NFL,QB,16,16,4-12-0,435,727,59.8,4967,20,2.8,17,2.3,267,47.5,57,6.8,6.33,11.4,310.4,79.8,56.1,29,212,3.84,6.29,5.81,3,3,13,
StafMa00,Matthew Stafford,QB,2013,25,DET,NFL,QB,16,16,7-9-0,371,634,58.5,4650,29,4.6,19,3.0,223,46.9,87,7.3,6.90,12.5,290.6,84.2,53.5,23,168,3.50,6.82,6.40,2,3,13,
StafMa00,Matthew Stafford,QB,2014,26,DET,NFL,QB,16,16,11-5-0,363,602,60.3,4257,22,3.7,12,2.0,212,43.3,73,7.1,6.91,11.7,266.1,85.7,44.7,45,254,6.96,6.19,6.03,5,5,13,PB
StafMa00,Matthew Stafford,QB,2015,27,DET,NFL,QB,16,16,7-9-0,398,592,67.2,4262,32,5.4,13,2.2,224,49.4,57,7.2,7.29,10.7,266.4,97.0,58.3,44,251,6.92,6.31,6.39,2,3,13,
StafMa00,Matthew Stafford,QB,2016,28,DET,NFL,QB,16,16,9-7-0,388,594,65.3,4327,24,4.0,10,1.7,218,48.0,73,7.3,7.34,11.2,270.4,93.3,65.2,37,216,5.86,6.52,6.56,8,8,14,
StafMa00,Matthew Stafford,QB,2017,29,DET,NFL,QB,16,16,9-7-0,371,565,65.7,4446,29,5.1,10,1.8,210,45.6,71,7.9,8.10,12.0,277.9,99.3,65.3,47,287,7.68,6.80,7.01,1,4,15,
StafMa00,Matthew Stafford,QB,2018,30,DET,NFL,QB,16,16,6-10-0,367,555,66.1,3777,21,3.8,11,2.0,197,45.7,67,6.8,6.67,10.3,236.1,89.9,51.3,40,255,6.72,5.92,5.79,0,1,10,
StafMa00,Matthew Stafford,QB,2019,31,DET,NFL,QB,8,8,3-4-1,187,291,64.3,2499,19,6.5,5,1.7,117,48.9,66,8.6,9.12,13.4,312.4,106.0,71.3,18,137,5.83,7.64,8.15,2,1,8,
StafMa00,Matthew Stafford,QB,2020,32,DET,NFL,QB,16,16,5-11-0,339,528,64.2,4084,26,4.9,10,1.9,205,47.9,73,7.7,7.87,12.0,255.3,96.3,61.3,38,254,6.71,6.77,6.89,3,4,13,
StafMa00,Matthew Stafford,QB,2021,33,LAR,NFL,QB,17,17,12-5-0,404,601,67.2,4886,41,6.8,17,2.8,233,52.6,79,8.1,8.22,12.1,287.4,102.9,69.2,30,243,4.75,7.36,7.45,3,4,15,
StafMa00,Matthew Stafford,QB,2022,34,LAR,NFL,QB,9,9,3-6-0,206,303,68.0,2087,10,3.3,8,2.6,105,49.7,75,6.9,6.36,10.1,231.9,87.4,52.3,29,208,8.73,5.66,5.18,0,0,7,
StafMa00,Matthew Stafford,QB,2023,35,LAR,NFL,QB,15,15,9-6-0,326,521,62.6,3965,24,4.6,11,2.1,187,47.5,80,7.6,7.58,12.2,264.3,92.5,64.2,30,205,5.44,6.82,6.80,1,2,13,"PB,AP MVP-8,AP CPoY-4"
StafMa00,Matthew Stafford,QB,2024,36,LAR,NFL,QB,16,16,10-6-0,340,517,65.8,3762,20,3.9,8,1.5,176,50.1,69,7.3,7.35,11.1,235.1,93.7,61.5,28,213,5.14,6.51,6.59,3,5,12,
StafMa00,Matthew Stafford,QB,2025,37,LAR,NFL,QB,8,8,6-2-0,184,274,67.2,2147,21,7.7,2,0.7,106,54.0,88,7.8,9.04,11.7,268.4,113.2,66.3,13,83,4.53,7.19,8.34,1,1,,
