player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
RyanMa00,Matt Ryan,QB,2008,23,ATL,NFL,QB,16,16,11-5-0,265,434,61.1,3440,16,3.7,11,2.5,156,45.5,70,7.9,7.52,13.0,215.0,87.7,68.8,17,104,3.77,7.40,7.01,2,4,14,AP ORoY-1
RyanMa00,Matt Ryan,QB,2009,24,ATL,NFL,QB,14,14,9-5-0,263,451,58.3,2916,22,4.9,14,3.1,153,44.0,90,6.5,6.04,11.1,208.3,80.9,67.7,19,92,4.04,6.01,5.60,1,3,10,
RyanMa00,Matt Ryan,QB,2010,25,ATL,NFL,QB,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,202,46.1,46,6.5,6.76,10.4,231.6,91.0,71.2,23,158,3.87,5.97,6.23,5,6,16,PB
RyanMa00,Matt Ryan,QB,2011,26,ATL,NFL,QB,16,16,10-6-0,347,566,61.3,4177,29,5.1,12,2.1,208,47.3,80,7.4,7.45,12.0,261.1,92.2,69.3,26,173,4.39,6.76,6.83,3,3,15,
RyanMa00,Matt Ryan,QB,2012,27,ATL,NFL,QB,16,16,13-3-0,422,615,68.6,4719,32,5.2,14,2.3,248,52.7,80,7.7,7.69,11.2,294.9,99.1,71.6,28,210,4.35,7.01,7.03,4,6,18,PB
RyanMa00,Matt Ryan,QB,2013,28,ATL,NFL,QB,16,16,4-12-0,439,651,67.4,4515,26,4.0,17,2.6,228,47.1,81,6.9,6.56,10.3,282.2,89.6,67.5,44,298,6.33,6.07,5.72,1,1,13,
RyanMa00,Matt Ryan,QB,2014,29,ATL,NFL,QB,16,16,6-10-0,415,628,66.1,4694,28,4.5,14,2.2,233,49.0,79,7.5,7.36,11.3,293.4,93.9,66.8,31,205,4.70,6.81,6.71,3,3,15,PB
RyanMa00,Matt Ryan,QB,2015,30,ATL,NFL,QB,16,16,8-8-0,407,614,66.3,4591,21,3.4,16,2.6,228,50.8,70,7.5,6.99,11.3,286.9,89.0,64.1,30,203,4.66,6.81,6.35,4,4,14,
RyanMa00,Matt Ryan,QB,2016,31,ATL,NFL,QB,16,16,11-5-0,373,534,69.9,4944,38,7.1,7,1.3,240,52.5,76,9.3,10.09,13.3,309.0,117.1,79.6,37,235,6.48,8.25,9.03,1,2,21,"PB,AP-1,AP MVP-1,AP OPoY-1"
RyanMa00,Matt Ryan,QB,2017,32,ATL,NFL,QB,16,16,10-6-0,342,529,64.7,4095,20,3.8,12,2.3,199,49.9,88,7.7,7.48,12.0,255.9,91.4,66.7,24,156,4.34,7.12,6.87,2,3,15,
RyanMa00,Matt Ryan,QB,2018,33,ATL,NFL,QB,16,16,7-9-0,422,608,69.4,4924,35,5.8,7,1.2,236,51.7,75,8.1,8.73,11.7,307.8,108.1,65.7,42,296,6.46,7.12,7.71,1,1,16,
RyanMa00,Matt Ryan,QB,2019,34,ATL,NFL,QB,15,15,7-8-0,408,616,66.2,4466,26,4.2,14,2.3,228,46.5,93,7.3,7.07,10.9,297.7,92.1,59.6,48,316,7.23,6.25,6.08,3,2,13,
RyanMa00,Matt Ryan,QB,2020,35,ATL,NFL,QB,16,16,4-12-0,407,626,65.0,4581,26,4.2,11,1.8,242,47.8,63,7.3,7.36,11.3,286.3,93.3,59.8,41,257,6.15,6.48,6.52,0,0,13,
RyanMa00,Matt Ryan,QB,2021,36,ATL,NFL,QB,17,17,7-10-0,375,560,67.0,3968,20,3.6,12,2.1,195,46.0,64,7.1,6.84,10.6,233.4,90.4,52.2,40,274,6.67,6.16,5.92,3,4,10,
RyanMa00,Matt Ryan,QB,2022,37,IND,NFL,QB,12,12,4-7-1,309,461,67.0,3057,14,3.0,13,2.8,156,44.9,45,6.6,5.97,9.9,254.8,83.9,44.9,38,287,7.62,5.55,4.94,5,4,7,
