player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
BrisJa00,Jacoby Brissett,QB,2016,24,NWE,NFL,QB,3,2,1-1-0,34,55,61.8,400,0,0.0,0,0.0,18,42.6,58,7.3,7.27,11.8,133.3,83.9,40.2,6,46,9.84,5.80,5.80,0,0,2,
BrisJa00,Jacoby Brissett,QB,2017,25,IND,NFL,QB,16,15,4-11-0,276,469,58.8,3098,13,2.8,7,1.5,146,40.1,80,6.6,6.49,11.2,193.6,81.7,44.0,52,305,9.98,5.36,5.26,0,1,11,
BrisJa00,Jacoby Brissett,QB,2018,26,IND,NFL,QB,4,0,,2,4,50.0,2,0,0.0,0,0.0,1,25.0,4,0.5,0.50,1.0,0.5,56.2,100.0,0,0,0.00,0.50,0.50,0,0,0,
BrisJa00,Jacoby Brissett,QB,2019,27,IND,NFL,QB,15,15,7-8-0,272,447,60.9,2942,18,4.0,6,1.3,143,42.8,50,6.6,6.78,10.8,196.1,88.0,52.1,27,159,5.70,5.87,6.06,2,2,10,
BrisJa00,Jacoby Brissett,QB,2020,28,IND,NFL,QB,11,0,,2,8,25.0,17,0,0.0,0,0.0,1,10.0,13,2.1,2.13,8.5,1.5,39.6,58.3,2,15,20.00,0.20,0.20,0,0,0,
BrisJa00,Jacoby Brissett,QB,2021,29,MIA,NFL,QB,11,5,2-3-0,141,225,62.7,1283,5,2.2,4,1.8,69,46.3,52,5.7,5.35,9.1,116.6,78.1,54.3,19,132,7.79,4.72,4.39,0,0,2,
BrisJa00,Jacoby Brissett,QB,2022,30,CLE,NFL,QB,16,11,4-7-0,236,369,64.0,2608,12,3.3,6,1.6,129,44.5,55,7.1,6.99,11.1,163.0,88.9,62.0,24,160,6.11,6.23,6.15,2,2,10,
BrisJa00,Jacoby Brissett,QB,2023,31,WAS,NFL,QB,3,0,,18,23,78.3,224,3,13.0,0,0.0,10,56.5,48,9.7,12.35,12.4,74.7,146.8,95.7,0,0,0.00,9.74,12.35,0,0,1,
BrisJa00,Jacoby Brissett,QB,2024,32,NWE,NFL,QB,8,5,1-4-0,95,161,59.0,826,2,1.2,1,0.6,41,35.8,50,5.1,5.10,8.7,103.3,74.2,41.5,18,119,10.06,3.95,3.92,1,1,0,
BrisJa00,Jacoby Brissett,QB,2025,33,ARI,NFL,QB,5,3,1-2-0,73,112,65.2,860,6,5.4,1,0.9,44,45.6,50,7.7,8.35,11.8,172.0,102.5,50.7,13,91,10.40,6.15,6.75,0,0,,
