player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
CulpDa00,Daunte Culpepper,QB,1999,22,MIN,NFL,QB,1,0,3,6,0,1,33.3,9,2.0,6.0,3.0,0,0,0,,0,0,,0.0,0.0,,,3,2.0,6,0,1,
CulpDa00,Daunte Culpepper,QB,2000,23,MIN,NFL,QB,16,16,89,470,7,36,56.2,27,5.3,29.4,5.6,0,0,0,,0,0,,0.0,0.0,,,89,5.3,470,7,11,PB
CulpDa00,Daunte Culpepper,QB,2001,24,MIN,NFL,QB,11,11,71,416,5,32,59.2,34,5.9,37.8,6.5,1,1,0,0.0,0,0,0.0,0.1,0.0,100.0,0.0,72,5.8,416,5,16,
CulpDa00,Daunte Culpepper,QB,2002,25,MIN,NFL,QB,16,16,106,609,10,47,59.4,38,5.7,38.1,6.6,0,0,0,,0,0,,0.0,0.0,,,106,5.7,609,10,23,
CulpDa00,Daunte Culpepper,QB,2003,26,MIN,NFL,QB,14,14,73,422,4,28,63.0,42,5.8,30.1,5.2,0,0,0,,0,0,,0.0,0.0,,,73,5.8,422,4,16,"PB,AP CPoY-8"
CulpDa00,Daunte Culpepper,QB,2004,27,MIN,NFL,QB,16,16,88,406,2,31,55.7,16,4.6,25.4,5.5,0,0,0,,0,0,,0.0,0.0,,,88,4.6,406,2,9,"PB,AP OPoY-2"
CulpDa00,Daunte Culpepper,QB,2005,28,MIN,NFL,QB,7,7,24,147,1,11,54.2,18,6.1,21.0,3.4,0,0,0,,0,0,,0.0,0.0,,,24,6.1,147,1,5,
CulpDa00,Daunte Culpepper,QB,2006,29,MIA,NFL,QB,4,4,10,20,1,3,30.0,7,2.0,5.0,2.5,0,0,0,,0,0,,0.0,0.0,,,10,2.0,20,1,3,
CulpDa00,Daunte Culpepper,QB,2007,30,OAK,NFL,QB,7,6,20,40,3,7,40.0,9,2.0,5.7,2.9,0,0,0,,0,0,,0.0,0.0,,,20,2.0,40,3,9,
CulpDa00,Daunte Culpepper,QB,2008,31,DET,NFL,QB,5,5,12,25,1,4,33.3,9,2.1,5.0,2.4,0,0,0,,0,0,,0.0,0.0,,,12,2.1,25,1,5,
CulpDa00,Daunte Culpepper,QB,2009,32,DET,NFL,QB,8,5,18,91,0,5,38.9,32,5.1,11.4,2.3,0,0,0,,0,0,,0.0,0.0,,,18,5.1,91,0,4,
