player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
NewtCa00,Cam Newton,QB,2011,22,CAR,NFL,QB,16,16,126,706,14,53,53.2,49,5.6,44.1,7.9,1,1,27,27.0,0,1,100.0,27,0.1,1.7,100.0,27.0,127,5.8,733,14,5,"PB,AP ORoY-1"
NewtCa00,Cam Newton,QB,2012,23,CAR,NFL,QB,16,16,127,741,8,52,52.0,72,5.8,46.3,7.9,1,0,6,,0,0,0.0,6,0.0,0.4,0.0,6.0,127,5.9,747,8,10,
NewtCa00,Cam Newton,QB,2013,24,CAR,NFL,QB,16,16,111,585,6,45,55.0,56,5.3,36.6,6.9,0,0,0,,0,0,,,0.0,0.0,,,111,5.3,585,6,3,PB
NewtCa00,Cam Newton,QB,2014,25,CAR,NFL,QB,14,14,103,539,5,48,61.2,22,5.2,38.5,7.4,0,0,0,,0,0,,,0.0,0.0,,,103,5.2,539,5,9,
NewtCa00,Cam Newton,QB,2015,26,CAR,NFL,QB,16,16,132,636,10,59,56.1,47,4.8,39.8,8.3,0,0,0,,0,0,,,0.0,0.0,,,132,4.8,636,10,5,"PB,AP-1,AP MVP-1,AP OPoY-1"
NewtCa00,Cam Newton,QB,2016,27,CAR,NFL,QB,15,14,90,359,5,28,52.2,28,4.0,23.9,6.0,0,0,0,,0,0,,,0.0,0.0,,,90,4.0,359,5,3,
NewtCa00,Cam Newton,QB,2017,28,CAR,NFL,QB,16,16,139,754,6,46,49.6,69,5.4,47.1,8.7,0,0,0,,0,0,,,0.0,0.0,,,139,5.4,754,6,9,
NewtCa00,Cam Newton,QB,2018,29,CAR,NFL,QB,14,14,101,488,4,36,48.5,29,4.8,34.9,7.2,0,0,0,,0,0,,,0.0,0.0,,,101,4.8,488,4,6,
NewtCa00,Cam Newton,QB,2019,30,CAR,NFL,QB,2,2,5,-2,0,0,0.0,3,-0.4,-1.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,-0.4,-2,0,2,
NewtCa00,Cam Newton,QB,2020,31,NWE,NFL,QB,15,15,137,592,12,55,54.0,49,4.3,39.5,9.1,2,2,35,17.5,1,2,100.0,19,0.1,2.3,100.0,17.5,139,4.5,627,13,6,
NewtCa00,Cam Newton,QB,2021,32,CAR,NFL,QB,8,5,47,230,5,20,55.3,33,4.9,28.8,5.9,0,0,0,,0,0,,,0.0,0.0,,,47,4.9,230,5,4,
