player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
WatsBe00,Ben Watson,TE,2004,24,NWE,NFL,TE,1,1,4,2,16,8.0,0,1,25.0,14,2.0,16.0,50.0,4.0,0,0,0,0,,,,0.0,0.0,2,8.0,16,0,0,0,
WatsBe00,Ben Watson,TE,2005,25,NWE,NFL,TE,15,9,54,29,441,15.2,4,22,51.9,35,1.9,29.4,53.7,8.2,0,0,0,0,,,,0.0,0.0,29,15.2,441,4,1,4,
WatsBe00,Ben Watson,TE,2006,26,NWE,NFL,TE,13,13,91,49,643,13.1,3,32,48.4,40,3.8,49.5,53.8,7.1,0,0,0,0,,,,0.0,0.0,49,13.1,643,3,3,7,
WatsBe00,Ben Watson,TE,2007,27,NWE,NFL,TE,12,8,49,36,389,10.8,6,21,59.2,35,3.0,32.4,73.5,7.9,1,11,0,1,100.0,11,11.0,0.9,0.1,37,10.8,400,6,1,5,
WatsBe00,Ben Watson,TE,2008,28,NWE,NFL,TE,14,9,47,22,209,9.5,2,12,40.4,29,1.6,14.9,46.8,4.4,0,0,0,0,,,,0.0,0.0,22,9.5,209,2,1,2,
WatsBe00,Ben Watson,TE,2009,29,NWE,NFL,TE,16,7,41,29,404,13.9,5,20,65.9,36,1.8,25.3,70.7,9.9,0,0,0,0,,,,0.0,0.0,29,13.9,404,5,0,4,
WatsBe00,Ben Watson,TE,2010,30,CLE,NFL,TE,16,16,102,68,763,11.2,3,39,53.9,44,4.3,47.7,66.7,7.5,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,69,11.0,762,3,0,5,
WatsBe00,Ben Watson,TE,2011,31,CLE,NFL,TE,13,11,70,37,410,11.1,2,21,42.9,34,2.8,31.5,52.9,5.9,0,0,0,0,,,,0.0,0.0,37,11.1,410,2,0,2,
WatsBe00,Ben Watson,TE,2012,32,CLE,NFL,TE,16,14,82,49,501,10.2,3,27,43.9,27,3.1,31.3,59.8,6.1,0,0,0,0,,,,0.0,0.0,49,10.2,501,3,1,3,
WatsBe00,Ben Watson,TE,2013,33,NOR,NFL,TE,15,7,30,19,226,11.9,2,14,56.7,32,1.3,15.1,63.3,7.5,0,0,0,0,,,,0.0,0.0,19,11.9,226,2,0,2,
WatsBe00,Ben Watson,TE,2014,34,NOR,NFL,TE,16,8,31,20,136,6.8,2,9,35.5,15,1.3,8.5,64.5,4.4,0,0,0,0,,,,0.0,0.0,20,6.8,136,2,0,1,
WatsBe00,Ben Watson,TE,2015,35,NOR,NFL,TE,16,16,110,74,825,11.1,6,42,56.4,46,4.6,51.6,67.3,7.5,0,0,0,0,,,,0.0,0.0,74,11.1,825,6,1,7,
WatsBe00,Ben Watson,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WatsBe00,Ben Watson,TE,2017,37,BAL,NFL,TE,16,12,79,61,522,8.6,4,30,53.2,33,3.8,32.6,77.2,6.6,0,0,0,0,,,,0.0,0.0,61,8.6,522,4,1,5,AP CPoY-6
WatsBe00,Ben Watson,TE,2018,38,NOR,NFL,TE,16,4,46,35,400,11.4,2,21,63.0,32,2.2,25.0,76.1,8.7,0,0,0,0,,,,0.0,0.0,35,11.4,400,2,0,4,
WatsBe00,Ben Watson,TE,2019,39,NWE,NFL,TE,10,8,24,17,173,10.2,0,9,54.2,26,1.7,17.3,70.8,7.2,0,0,0,0,,,,0.0,0.0,17,10.2,173,0,0,1,
