player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_success,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
PalmCa00,Carson Palmer,QB,2004,25,CIN,NFL,QB,13,13,18,47,1,5,38.9,14,2.6,3.6,1.4,0,0,0,0,0,,0.0,0.0,,,18,2.6,47,1,2,
PalmCa00,Carson Palmer,QB,2005,26,CIN,NFL,QB,16,16,34,41,1,6,29.4,14,1.2,2.6,2.1,0,0,0,0,0,,0.0,0.0,,,34,1.2,41,1,5,"PB,AP MVP-5,AP OPoY-4"
PalmCa00,Carson Palmer,QB,2006,27,CIN,NFL,QB,16,16,26,37,0,6,34.6,11,1.4,2.3,1.6,0,0,0,0,0,,0.0,0.0,,,26,1.4,37,0,15,"PB,AP CPoY-3"
PalmCa00,Carson Palmer,QB,2007,28,CIN,NFL,QB,16,16,24,10,0,3,16.7,10,0.4,0.6,1.5,0,0,0,0,0,,0.0,0.0,,,24,0.4,10,0,5,
PalmCa00,Carson Palmer,QB,2008,29,CIN,NFL,QB,4,4,6,38,0,2,66.7,15,6.3,9.5,1.5,0,0,0,0,0,,0.0,0.0,,,6,6.3,38,0,2,
PalmCa00,Carson Palmer,QB,2009,30,CIN,NFL,QB,16,16,39,93,3,13,41.0,15,2.4,5.8,2.4,0,0,0,0,0,,0.0,0.0,,,39,2.4,93,3,6,
PalmCa00,Carson Palmer,QB,2010,31,CIN,NFL,QB,16,16,32,50,0,6,31.3,9,1.6,3.1,2.0,0,0,0,0,0,,0.0,0.0,,,32,1.6,50,0,7,
PalmCa00,Carson Palmer,QB,2011,32,OAK,NFL,QB,10,9,16,20,1,5,31.3,10,1.3,2.0,1.6,0,0,0,0,0,,0.0,0.0,,,16,1.3,20,1,2,
PalmCa00,Carson Palmer,QB,2012,33,OAK,NFL,QB,15,15,18,36,1,7,50.0,9,2.0,2.4,1.2,0,0,0,0,0,,0.0,0.0,,,18,2.0,36,1,7,
PalmCa00,Carson Palmer,QB,2013,34,ARI,NFL,QB,16,16,27,3,0,1,3.7,10,0.1,0.2,1.7,0,0,0,0,0,,0.0,0.0,,,27,0.1,3,0,6,
PalmCa00,Carson Palmer,QB,2014,35,ARI,NFL,QB,6,6,8,25,0,1,25.0,12,3.1,4.2,1.3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,3.1,25,0,3,
PalmCa00,Carson Palmer,QB,2015,36,ARI,NFL,QB,16,16,25,24,1,5,16.0,12,1.0,1.5,1.6,0,0,0,0,0,,0.0,0.0,,,25,1.0,24,1,6,"PB,AP-2,AP MVP-2,AP OPoY-4,AP CPoY-2"
PalmCa00,Carson Palmer,QB,2016,37,ARI,NFL,QB,15,15,14,38,0,3,42.9,16,2.7,2.5,0.9,0,0,0,0,0,,0.0,0.0,,,14,2.7,38,0,14,
PalmCa00,Carson Palmer,QB,2017,38,ARI,NFL,QB,7,7,14,12,0,5,35.7,4,0.9,1.7,2.0,0,0,0,0,0,,0.0,0.0,,,14,0.9,12,0,2,
