player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
JoneJu02,Julio Jones,WR,2011,22,13,WR,148,32,18,42,All 2011 Games
JoneJu02,Julio Jones,WR,2012,23,16,WR,183,64,9,25,All 2012 Games
JoneJu02,Julio Jones,WR,2013,24,5,WR,69,,66,,All 2013 Games
JoneJu02,Julio Jones,WR,2014,25,15,WR,193,72,8,19,All 2014 Games
JoneJu02,Julio Jones,WR,2015,26,16,WR,239,111,2,3,All 2015 Games
JoneJu02,Julio Jones,WR,2016,27,14,WR,177,51,6,20,All 2016 Games
JoneJu02,Julio Jones,WR,2017,28,16,WR,164,53,6,16,All 2017 Games
JoneJu02,Julio Jones,WR,2018,29,16,WR,213,97,5,12,All 2018 Games
JoneJu02,Julio Jones,WR,2019,30,15,WR,175,46,5,27,All 2019 Games
JoneJu02,Julio Jones,WR,2020,31,9,WR,95,,53,,All 2020 Games
JoneJu02,Julio Jones,WR,2021,32,10,WR,49,,93,,All 2021 Games
JoneJu02,Julio Jones,WR,2022,33,10,WR,46,,94,,All 2022 Games
JoneJu02,Julio Jones,WR,2023,34,11,WR,25,,120,,All 2023 Games
