player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
RoetBe00,Ben Roethlisberger,QB,2004,22,14,QB,167,,20,,All 2004 Games
RoetBe00,Ben Roethlisberger,QB,2005,23,12,QB,168,,17,,All 2005 Games
RoetBe00,Ben Roethlisberger,QB,2006,24,15,QB,184,,12,76,All 2006 Games
RoetBe00,Ben Roethlisberger,QB,2007,25,15,QB,261,56,4,24,All 2007 Games
RoetBe00,Ben Roethlisberger,QB,2008,26,16,QB,177,,20,,All 2008 Games
RoetBe00,Ben Roethlisberger,QB,2009,27,15,QB,267,39,9,41,All 2009 Games
RoetBe00,Ben Roethlisberger,QB,2010,28,12,QB,210,,16,78,All 2010 Games
RoetBe00,Ben Roethlisberger,QB,2011,29,15,QB,216,,13,76,All 2011 Games
RoetBe00,Ben Roethlisberger,QB,2012,30,13,QB,224,,19,,All 2012 Games
RoetBe00,Ben Roethlisberger,QB,2013,31,16,QB,259,,12,75,All 2013 Games
RoetBe00,Ben Roethlisberger,QB,2014,32,16,QB,306,41,5,36,All 2014 Games
RoetBe00,Ben Roethlisberger,QB,2015,33,12,QB,228,,20,,All 2015 Games
RoetBe00,Ben Roethlisberger,QB,2016,34,14,QB,252,,18,,All 2016 Games
RoetBe00,Ben Roethlisberger,QB,2017,35,15,QB,261,5,10,67,All 2017 Games
RoetBe00,Ben Roethlisberger,QB,2018,36,16,QB,341,58,3,27,All 2018 Games
RoetBe00,Ben Roethlisberger,QB,2019,37,2,QB,13,,52,,All 2019 Games
RoetBe00,Ben Roethlisberger,QB,2020,38,15,QB,267,,14,77,All 2020 Games
RoetBe00,Ben Roethlisberger,QB,2021,39,16,QB,218,,21,,All 2021 Games
