player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
AdamDa01,Davante Adams,WR,2014,22,16,WR,63,,74,,All 2014 Games
AdamDa01,Davante Adams,WR,2015,23,13,WR,56,,83,,All 2015 Games
AdamDa01,Davante Adams,WR,2016,24,16,WR,172,46,7,23,All 2016 Games
AdamDa01,Davante Adams,WR,2017,25,14,WR,149,38,12,31,All 2017 Games
AdamDa01,Davante Adams,WR,2018,26,15,WR,219,102,3,10,All 2018 Games
AdamDa01,Davante Adams,WR,2019,27,12,WR,130,1,29,75,All 2019 Games
AdamDa01,Davante Adams,WR,2020,28,14,WR,243,117,1,4,All 2020 Games
AdamDa01,Davante Adams,WR,2021,29,16,WR,221,94,5,12,All 2021 Games
AdamDa01,Davante Adams,WR,2022,30,17,WR,236,114,2,8,All 2022 Games
AdamDa01,Davante Adams,WR,2023,31,17,WR,162,31,14,34,All 2023 Games
AdamDa01,Davante Adams,WR,2024,32,14,WR,156,25,12,46,All 2024 Games
AdamDa01,Davante Adams,WR,2025,33,8,WR,97,32,6,24,All 2025 Games
