player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_yds_per_att_idx,pass_net_yds_per_att_idx,pass_adj_yds_per_att_idx,pass_adj_net_yds_per_att_idx,pass_cmp_pct_idx,pass_td_pct_idx,pass_int_pct_idx,pass_sacked_pct_idx,pass_rating_idx,awards
FavrBr00,Brett Favre,QB,1992,23,GNB,NFL,QB,15,13,101,102,105,106,121,102,111,102,112,PB
FavrBr00,Brett Favre,QB,1993,24,GNB,NFL,QB,16,16,91,96,86,90,109,99,82,109,94,PB
FavrBr00,Brett Favre,QB,1994,25,GNB,NFL,QB,16,16,98,102,109,111,113,123,111,108,117,
FavrBr00,Brett Favre,QB,1995,26,GNB,NFL,QB,16,16,125,124,131,130,117,135,115,104,130,"PB,AP-1,AP MVP-1,AP OPoY-1"
FavrBr00,Brett Favre,QB,1996,27,GNB,NFL,QB,16,16,112,111,122,121,109,141,112,98,126,"PB,AP-1,AP MVP-1,AP OPoY-2"
FavrBr00,Brett Favre,QB,1997,28,GNB,NFL,QB,16,16,115,120,117,120,109,130,102,114,119,"PB,AP-1,AP MVP-1,AP OPoY-3"
FavrBr00,Brett Favre,QB,1998,29,GNB,NFL,QB,16,16,116,117,109,110,126,116,87,104,112,
FavrBr00,Brett Favre,QB,1999,30,GNB,NFL,QB,16,16,102,104,98,100,100,97,92,109,96,
FavrBr00,Brett Favre,QB,2000,31,GNB,NFL,QB,16,16,97,100,100,102,101,95,109,110,100,
FavrBr00,Brett Favre,QB,2001,32,GNB,NFL,QB,16,16,118,123,122,125,109,132,104,116,122,"PB,AP-2,AP MVP-3,AP OPoY-3"
FavrBr00,Brett Favre,QB,2002,33,GNB,NFL,QB,16,16,99,103,104,107,110,114,105,113,110,"PB,AP-2,AP MVP-2"
FavrBr00,Brett Favre,QB,2003,34,GNB,NFL,QB,16,16,106,111,104,107,119,133,77,117,113,PB
FavrBr00,Brett Favre,QB,2004,35,GNB,NFL,QB,16,16,113,121,113,119,116,117,100,131,115,
FavrBr00,Brett Favre,QB,2005,36,GNB,NFL,QB,16,16,91,98,83,88,105,91,72,118,87,
FavrBr00,Brett Favre,QB,2006,37,GNB,NFL,QB,16,16,90,99,92,97,86,88,103,120,89,
FavrBr00,Brett Favre,QB,2007,38,GNB,NFL,QB,16,16,118,124,117,121,121,114,104,122,119,"PB,AP-2,AP MVP-2,AP OPoY-3,AP CPoY-4"
FavrBr00,Brett Favre,QB,2008,39,NYJ,NFL,QB,16,16,95,96,90,92,115,102,82,104,98,PB
FavrBr00,Brett Favre,QB,2009,40,MIN,NFL,QB,16,16,117,115,125,123,125,126,123,100,129,"PB,AP MVP-4,AP CPoY-4"
FavrBr00,Brett Favre,QB,2010,41,MIN,NFL,QB,13,13,99,100,85,86,100,87,68,103,84,
