player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
MontJo01,Joe Montana,QB,1979,23,SFO,NFL,QB,16,1,0-1-0,13,23,56.5,96,1,4.3,0,0.0,6,30.4,18,4.2,5.04,7.4,6.0,81.1,0,0,0.00,4.17,5.04,0,0,0,
MontJo01,Joe Montana,QB,1980,24,SFO,NFL,QB,15,7,2-5-0,176,273,64.5,1795,15,5.5,9,3.3,81,43.8,71,6.6,6.19,10.2,119.7,87.8,15,100,5.21,5.89,5.52,1,1,6,
MontJo01,Joe Montana,QB,1981,25,SFO,NFL,QB,16,16,13-3-0,311,488,63.7,3565,19,3.9,12,2.5,173,45.9,78,7.3,6.98,11.5,222.8,88.4,26,193,5.06,6.56,6.25,2,2,12,"PB,AP-2,AP MVP-2,AP OPoY-3"
MontJo01,Joe Montana,QB,1982,26,SFO,NFL,QB,9,9,3-6-0,213,346,61.6,2613,17,4.9,11,3.2,120,45.4,55,7.6,7.10,12.3,290.3,88.0,20,166,5.46,6.69,6.26,2,2,16,
MontJo01,Joe Montana,QB,1983,27,SFO,NFL,QB,16,16,10-6-0,332,515,64.5,3910,26,5.0,12,2.3,199,51.3,77,7.6,7.55,11.8,244.4,94.6,33,224,6.02,6.73,6.69,2,1,17,"PB,AP MVP-5,AP OPoY-5"
MontJo01,Joe Montana,QB,1984,28,SFO,NFL,QB,16,15,14-1-0,279,432,64.6,3630,28,6.5,10,2.3,184,50.2,80,8.4,8.66,13.0,226.9,102.9,22,138,4.85,7.69,7.93,2,2,16,"PB,AP-2"
MontJo01,Joe Montana,QB,1985,29,SFO,NFL,QB,15,15,9-6-0,303,494,61.3,3653,27,5.5,13,2.6,164,45.2,73,7.4,7.30,12.1,243.5,91.3,35,246,6.62,6.44,6.36,1,1,13,PB
MontJo01,Joe Montana,QB,1986,30,SFO,NFL,QB,8,8,6-2-0,191,307,62.2,2236,8,2.6,9,2.9,111,45.5,48,7.3,6.49,11.7,279.5,80.7,12,95,3.76,6.71,5.94,1,1,7,AP MVP-6
MontJo01,Joe Montana,QB,1987,31,SFO,NFL,QB,13,11,10-1-0,266,398,66.8,3054,31,7.8,13,3.3,158,52.6,57,7.7,7.76,11.5,234.9,102.1,22,158,5.24,6.90,6.98,3,3,16,"PB,AP-1,AP MVP-3,AP OPoY-2"
MontJo01,Joe Montana,QB,1988,32,SFO,NFL,QB,14,13,8-5-0,238,397,59.9,2981,18,4.5,10,2.5,131,45.2,96,7.5,7.28,12.5,212.9,87.9,34,223,7.89,6.40,6.19,2,2,13,
MontJo01,Joe Montana,QB,1989,33,SFO,NFL,QB,13,13,11-2-0,271,386,70.2,3521,26,6.7,8,2.1,160,53.7,95,9.1,9.54,13.0,270.8,112.4,33,198,7.88,7.93,8.31,4,5,17,"PB,AP-1,AP MVP-1,AP OPoY-1"
MontJo01,Joe Montana,QB,1990,34,SFO,NFL,QB,15,15,14-1-0,321,520,61.7,3944,26,5.0,16,3.1,182,48.1,78,7.6,7.20,12.3,262.9,89.0,29,153,5.28,6.91,6.54,3,5,14,"PB,AP-1,AP MVP-1,AP OPoY-3"
MontJo01,Joe Montana,QB,1991,,Did not play - Injured (elbow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MontJo01,Joe Montana,QB,1992,36,SFO,NFL,QB,1,0,,15,21,71.4,126,2,9.5,0,0.0,7,45.5,17,6.0,7.90,8.4,126.0,118.4,1,8,4.55,5.36,7.18,0,0,1,
MontJo01,Joe Montana,QB,1993,37,KAN,NFL,QB,11,11,8-3-0,181,298,60.7,2144,13,4.4,7,2.3,110,47.4,50,7.2,7.01,11.8,194.9,87.4,12,61,3.87,6.72,6.54,1,1,9,PB
MontJo01,Joe Montana,QB,1994,38,KAN,NFL,QB,14,14,9-5-0,299,493,60.6,3283,16,3.2,9,1.8,172,46.7,57,6.7,6.49,11.0,234.5,83.6,19,132,3.71,6.15,5.99,2,2,9,
