player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
CousKi00,Kirk Cousins,QB,2012,24,WAS,NFL,QB,3,1,1-0-0,33,48,68.8,466,4,8.3,3,6.3,20,47.1,77,9.7,8.56,14.1,155.3,101.6,77.7,3,27,5.88,8.61,7.53,1,1,2,
CousKi00,Kirk Cousins,QB,2013,25,WAS,NFL,QB,5,3,0-3-0,81,155,52.3,854,4,2.6,7,4.5,42,38.1,62,5.5,3.99,10.5,170.8,58.4,36.5,5,32,3.13,5.14,3.67,0,0,-2,
CousKi00,Kirk Cousins,QB,2014,26,WAS,NFL,QB,6,5,1-4-0,126,204,61.8,1710,10,4.9,9,4.4,75,48.1,81,8.4,7.38,13.6,285.0,86.4,52.3,8,70,3.77,7.74,6.77,0,0,4,
CousKi00,Kirk Cousins,QB,2015,27,WAS,NFL,QB,16,16,9-7-0,379,543,69.8,4166,29,5.3,11,2.0,205,51.1,78,7.7,7.83,11.0,260.4,101.6,67.8,26,186,4.57,6.99,7.14,2,3,12,
CousKi00,Kirk Cousins,QB,2016,28,WAS,NFL,QB,16,16,8-7-1,406,606,67.0,4917,25,4.1,12,2.0,227,51.2,80,8.1,8.05,12.1,307.3,97.2,66.5,23,190,3.66,7.52,7.45,4,4,15,PB
CousKi00,Kirk Cousins,QB,2017,29,WAS,NFL,QB,16,16,7-9-0,347,540,64.3,4093,27,5.0,13,2.4,194,45.6,74,7.6,7.50,11.8,255.8,93.9,56.2,41,342,7.06,6.46,6.38,1,4,12,
CousKi00,Kirk Cousins,QB,2018,30,MIN,NFL,QB,16,16,8-7-1,425,606,70.1,4298,30,5.0,10,1.7,218,49.4,75,7.1,7.34,10.1,268.6,99.7,59.5,40,262,6.19,6.25,6.48,1,0,12,
CousKi00,Kirk Cousins,QB,2019,31,MIN,NFL,QB,15,15,10-5-0,307,444,69.1,3603,26,5.9,6,1.4,165,50.4,66,8.1,8.68,11.7,240.2,107.4,60.4,28,206,5.93,7.20,7.73,1,1,14,PB
CousKi00,Kirk Cousins,QB,2020,32,MIN,NFL,QB,16,16,7-9-0,349,516,67.6,4265,35,6.8,13,2.5,212,51.2,71,8.3,8.49,12.2,266.6,105.0,55.8,39,256,7.03,7.22,7.43,1,3,14,
CousKi00,Kirk Cousins,QB,2021,33,MIN,NFL,QB,16,16,8-8-0,372,561,66.3,4221,33,5.9,7,1.2,192,46.2,64,7.5,8.14,11.3,263.8,103.1,58.3,28,197,4.75,6.83,7.42,3,4,13,PB
CousKi00,Kirk Cousins,QB,2022,34,MIN,NFL,QB,17,17,13-4-0,424,643,65.9,4547,29,4.5,14,2.2,230,46.3,66,7.1,6.99,10.7,267.5,92.5,52.3,46,329,6.68,6.12,6.05,8,8,13,PB
CousKi00,Kirk Cousins,QB,2023,35,MIN,NFL,QB,8,8,4-4-0,216,311,69.5,2331,18,5.8,5,1.6,112,46.6,62,7.5,7.93,10.8,291.4,103.8,64.0,17,110,5.18,6.77,7.18,0,0,7,
CousKi00,Kirk Cousins,QB,2024,36,ATL,NFL,QB,14,14,7-7-0,303,453,66.9,3508,18,4.0,16,3.5,163,46.4,60,7.7,6.95,11.6,250.6,88.6,47.0,28,201,5.82,6.88,6.13,3,3,10,AP CPoY-13
CousKi00,Kirk Cousins,QB,2025,37,ATL,NFL,QB,2,1,0-1-0,26,38,68.4,202,0,0.0,0,0.0,8,43.6,25,5.3,5.32,7.8,101.0,81.2,30.6,1,5,2.56,5.05,5.05,0,0,,
