player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
LewiMa00,Marcedes Lewis,TE,2006,22,JAX,NFL,TE,15,3,21,13,126,9.7,1,6,47.6,31,0.9,8.4,61.9,6.0,0,0,0,0,0.0,0.0,13,9.7,126,1,0,1,
LewiMa00,Marcedes Lewis,TE,2007,23,JAX,NFL,TE,16,16,57,37,391,10.6,2,22,50.9,25,2.3,24.4,64.9,6.9,0,0,0,0,0.0,0.0,37,10.6,391,2,0,5,
LewiMa00,Marcedes Lewis,TE,2008,24,JAX,NFL,TE,16,16,74,41,489,11.9,2,21,41.9,30,2.6,30.6,55.4,6.6,0,0,0,0,0.0,0.0,41,11.9,489,2,0,4,
LewiMa00,Marcedes Lewis,TE,2009,25,JAX,NFL,TE,15,15,59,32,518,16.2,2,20,42.4,47,2.1,34.5,54.2,8.8,0,0,0,0,0.0,0.0,32,16.2,518,2,1,5,
LewiMa00,Marcedes Lewis,TE,2010,26,JAX,NFL,TE,16,16,89,58,700,12.1,10,37,52.8,42,3.6,43.8,65.2,7.9,0,0,0,0,0.0,0.0,58,12.1,700,10,2,8,PB
LewiMa00,Marcedes Lewis,TE,2011,27,JAX,NFL,TE,15,15,85,39,460,11.8,0,22,35.3,62,2.6,30.7,45.9,5.4,0,0,0,0,0.0,0.0,39,11.8,460,0,0,4,
LewiMa00,Marcedes Lewis,TE,2012,28,JAX,NFL,TE,16,15,77,52,540,10.4,4,25,48.1,26,3.3,33.8,67.5,7.0,0,0,0,0,0.0,0.0,52,10.4,540,4,0,4,
LewiMa00,Marcedes Lewis,TE,2013,29,JAX,NFL,TE,11,11,47,25,359,14.4,4,17,51.1,41,2.3,32.6,53.2,7.6,0,0,0,0,0.0,0.0,25,14.4,359,4,1,2,
LewiMa00,Marcedes Lewis,TE,2014,30,JAX,NFL,TE,8,8,31,18,206,11.4,2,10,48.4,63,2.3,25.8,58.1,6.6,0,0,0,0,0.0,0.0,18,11.4,206,2,0,1,
LewiMa00,Marcedes Lewis,TE,2015,31,JAX,NFL,TE,16,16,37,16,226,14.1,0,8,40.5,45,1.0,14.1,43.2,6.1,0,0,0,0,0.0,0.0,16,14.1,226,0,0,2,
LewiMa00,Marcedes Lewis,TE,2016,32,JAX,NFL,TE,10,10,30,20,169,8.5,1,9,46.7,37,2.0,16.9,66.7,5.6,0,0,0,0,0.0,0.0,20,8.5,169,1,0,1,
LewiMa00,Marcedes Lewis,TE,2017,33,JAX,NFL,TE,16,16,48,24,318,13.3,5,18,47.9,37,1.5,19.9,50.0,6.6,0,0,0,0,0.0,0.0,24,13.3,318,5,0,3,
LewiMa00,Marcedes Lewis,TE,2018,34,GNB,NFL,TE,16,4,4,3,39,13.0,0,1,75.0,30,0.2,2.4,75.0,9.8,0,0,0,0,0.0,0.0,3,13.0,39,0,0,0,
LewiMa00,Marcedes Lewis,TE,2019,35,GNB,NFL,TE,16,11,19,15,156,10.4,1,8,57.9,25,0.9,9.8,78.9,8.2,0,0,0,0,0.0,0.0,15,10.4,156,1,0,1,
LewiMa00,Marcedes Lewis,TE,2020,36,GNB,NFL,TE,15,15,17,10,107,10.7,3,6,58.8,36,0.7,7.1,58.8,6.3,0,0,0,0,0.0,0.0,10,10.7,107,3,0,1,
LewiMa00,Marcedes Lewis,TE,2021,37,GNB,NFL,TE,17,17,28,23,214,9.3,0,10,57.1,23,1.4,12.6,82.1,7.6,0,0,0,0,0.0,0.0,23,9.3,214,0,1,2,
LewiMa00,Marcedes Lewis,TE,2022,38,GNB,NFL,TE,17,17,7,6,66,11.0,2,5,71.4,31,0.4,3.9,85.7,9.4,0,0,0,0,0.0,0.0,6,11.0,66,2,0,1,
LewiMa00,Marcedes Lewis,TE,2023,39,CHI,NFL,TE,17,4,5,4,29,7.3,1,2,80.0,16,0.2,1.7,80.0,5.8,0,0,0,0,0.0,0.0,4,7.3,29,1,0,0,
LewiMa00,Marcedes Lewis,TE,2024,40,CHI,NFL,TE,17,4,2,1,2,2.0,0,1,50.0,2,0.1,0.1,50.0,1.0,0,0,0,0,0.0,0.0,1,2.0,2,0,0,0,
LewiMa00,Marcedes Lewis,TE,2025,41,DEN,NFL,TE,2,1,0,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,0.0,0.0,0,,0,0,0,,
