player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
MannPe00,Peyton Manning,QB,1998,22,IND,NFL,QB,16,16,3-13-0,326,575,56.7,3739,26,4.5,28,4.9,190,42.9,78,6.5,5.22,11.5,233.7,71.2,,22,109,3.69,6.08,4.84,1,1,11,AP ORoY-2
MannPe00,Peyton Manning,QB,1999,23,IND,NFL,QB,16,16,13-3-0,331,533,62.1,4135,26,4.9,15,2.8,197,46.6,80,7.8,7.47,12.5,258.4,90.7,,14,116,2.56,7.35,7.06,6,7,18,"PB,AP-2,AP MVP-2,AP OPoY-3"
MannPe00,Peyton Manning,QB,2000,24,IND,NFL,QB,16,16,10-6-0,357,571,62.5,4413,33,5.8,15,2.6,213,50.3,78,7.7,7.70,12.4,275.8,94.7,,20,131,3.38,7.25,7.22,2,3,17,"PB,AP-2,AP MVP-5,AP OPoY-8"
MannPe00,Peyton Manning,QB,2001,25,IND,NFL,QB,16,16,6-10-0,343,547,62.7,4131,26,4.8,23,4.2,201,46.4,86,7.6,6.61,12.0,258.2,84.1,,29,232,5.03,6.77,5.88,0,0,15,
MannPe00,Peyton Manning,QB,2002,26,IND,NFL,QB,16,16,10-6-0,392,591,66.3,4200,27,4.6,19,3.2,213,47.6,69,7.1,6.57,10.7,262.5,88.8,,23,145,3.75,6.60,6.09,4,5,15,PB
MannPe00,Peyton Manning,QB,2003,27,IND,NFL,QB,16,16,12-4-0,379,566,67.0,4267,29,5.1,10,1.8,213,51.0,79,7.5,7.77,11.3,266.7,99.0,,18,107,3.08,7.12,7.35,3,4,18,"PB,AP-1,AP MVP-1,AP OPoY-3"
MannPe00,Peyton Manning,QB,2004,28,IND,NFL,QB,16,16,12-4-0,336,497,67.6,4557,49,9.9,10,2.0,233,57.1,80,9.2,10.24,13.6,284.8,121.1,,13,101,2.55,8.74,9.78,2,4,21,"PB,AP-1,AP MVP-1,AP OPoY-1"
MannPe00,Peyton Manning,QB,2005,29,IND,NFL,QB,16,16,14-2-0,305,453,67.3,3747,28,6.2,10,2.2,198,55.7,80,8.3,8.51,12.3,234.2,104.1,,17,81,3.62,7.80,8.03,1,1,18,"PB,AP-1,AP MVP-2,AP OPoY-2"
MannPe00,Peyton Manning,QB,2006,30,IND,NFL,QB,16,16,12-4-0,362,557,65.0,4397,31,5.6,9,1.6,242,56.6,68,7.9,8.28,12.1,274.8,101.0,86.4,14,86,2.45,7.55,7.93,3,3,20,"PB,AP-2,AP MVP-3,AP OPoY-3"
MannPe00,Peyton Manning,QB,2007,31,IND,NFL,QB,16,16,13-3-0,337,515,65.4,4040,31,6.0,14,2.7,207,53.9,73,7.8,7.83,12.0,252.5,98.0,76.9,21,124,3.92,7.31,7.29,1,2,17,PB
MannPe00,Peyton Manning,QB,2008,32,IND,NFL,QB,16,16,12-4-0,371,555,66.8,4002,27,4.9,12,2.2,213,52.4,75,7.2,7.21,10.8,250.1,95.0,76.5,14,86,2.46,6.88,6.88,4,6,16,"PB,AP-1,AP MVP-1,AP OPoY-2"
MannPe00,Peyton Manning,QB,2009,33,IND,NFL,QB,16,16,14-2-0,393,571,68.8,4500,33,5.8,16,2.8,241,54.6,80,7.9,7.78,11.5,281.3,99.9,80.7,10,74,1.72,7.62,7.51,7,7,17,"PB,AP-1,AP MVP-1,AP OPoY-3"
MannPe00,Peyton Manning,QB,2010,34,IND,NFL,QB,16,16,10-6-0,450,679,66.3,4700,33,4.9,17,2.5,253,54.1,73,6.9,6.77,10.4,293.8,91.9,71.6,16,91,2.30,6.63,6.48,0,2,16,PB
MannPe00,Peyton Manning,QB,2011,,Did not play - Injured (neck),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MannPe00,Peyton Manning,QB,2012,36,DEN,NFL,QB,16,16,13-3-0,400,583,68.6,4659,37,6.3,11,1.9,231,54.0,71,8.0,8.41,11.6,291.2,105.8,79.6,21,137,3.48,7.49,7.89,3,3,15,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-1"
MannPe00,Peyton Manning,QB,2013,37,DEN,NFL,QB,16,16,13-3-0,450,659,68.3,5477,55,8.3,10,1.5,291,55.2,78,8.3,9.30,12.2,342.3,115.1,79.0,18,120,2.66,7.91,8.87,2,2,19,"PB,AP-1,AP MVP-1,AP OPoY-1"
MannPe00,Peyton Manning,QB,2014,38,DEN,NFL,QB,16,16,12-4-0,395,597,66.2,4727,39,6.5,15,2.5,227,51.6,86,7.9,8.09,12.0,295.4,101.5,72.6,17,118,2.77,7.51,7.68,1,1,16,PB
MannPe00,Peyton Manning,QB,2015,39,DEN,NFL,QB,10,9,7-2-0,198,331,59.8,2249,9,2.7,17,5.1,110,40.6,75,6.8,5.03,11.4,224.9,67.9,44.2,16,95,4.61,6.21,4.52,3,3,2,
