player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
BradTo00,Tom Brady,QB,2001,24,NWE,NFL,QB,15,14,36,43,0,7,25.0,12,1.2,2.9,2.4,1,1,23,23.0,0,1,100.0,23,0.1,1.5,100.0,23.0,37,1.8,66,0,12,PB
BradTo00,Tom Brady,QB,2002,25,NWE,NFL,QB,16,16,42,110,1,20,54.8,15,2.6,6.9,2.6,0,0,0,,0,0,,,0.0,0.0,,,42,2.6,110,1,11,
BradTo00,Tom Brady,QB,2003,26,NWE,NFL,QB,16,16,42,63,1,11,28.6,11,1.5,3.9,2.6,0,0,0,,0,0,,,0.0,0.0,,,42,1.5,63,1,13,AP MVP-3
BradTo00,Tom Brady,QB,2004,27,NWE,NFL,QB,16,16,43,28,0,12,27.9,10,0.7,1.8,2.7,0,0,0,,0,0,,,0.0,0.0,,,43,0.7,28,0,7,PB
BradTo00,Tom Brady,QB,2005,28,NWE,NFL,QB,16,16,27,89,1,15,63.0,15,3.3,5.6,1.7,0,0,0,,0,0,,,0.0,0.0,,,27,3.3,89,1,4,"PB,AP-2,AP MVP-3,AP OPoY-4"
BradTo00,Tom Brady,QB,2006,29,NWE,NFL,QB,16,16,49,102,0,13,32.7,22,2.1,6.4,3.1,0,0,0,,0,0,,,0.0,0.0,,,49,2.1,102,0,12,
BradTo00,Tom Brady,QB,2007,30,NWE,NFL,QB,16,16,37,98,2,14,48.6,19,2.6,6.1,2.3,0,0,0,,0,0,,,0.0,0.0,,,37,2.6,98,2,6,"PB,AP-1,AP MVP-1,AP OPoY-1"
BradTo00,Tom Brady,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BradTo00,Tom Brady,QB,2009,32,NWE,NFL,QB,16,16,29,44,1,9,37.9,9,1.5,2.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,29,1.5,44,1,4,"PB,AP CPoY-1"
BradTo00,Tom Brady,QB,2010,33,NWE,NFL,QB,16,16,31,30,1,10,32.3,9,1.0,1.9,1.9,0,0,0,,0,0,,,0.0,0.0,,,31,1.0,30,1,3,"PB,AP-1,AP MVP-1,AP OPoY-1"
BradTo00,Tom Brady,QB,2011,34,NWE,NFL,QB,16,16,43,109,3,23,62.8,13,2.5,6.8,2.7,0,0,0,,0,0,,,0.0,0.0,,,43,2.5,109,3,6,PB
BradTo00,Tom Brady,QB,2012,35,NWE,NFL,QB,16,16,23,32,4,12,56.5,7,1.4,2.0,1.4,0,0,0,,0,0,,,0.0,0.0,,,23,1.4,32,4,2,"PB,AP OPoY-3"
BradTo00,Tom Brady,QB,2013,36,NWE,NFL,QB,16,16,32,18,0,5,18.8,11,0.6,1.1,2.0,0,0,0,,0,0,,,0.0,0.0,,,32,0.6,18,0,9,"PB,AP MVP-2,AP OPoY-4"
BradTo00,Tom Brady,QB,2014,37,NWE,NFL,QB,16,16,36,57,0,11,36.1,17,1.6,3.6,2.3,0,0,0,,0,0,,,0.0,0.0,,,36,1.6,57,0,6,"PB,AP MVP-5"
BradTo00,Tom Brady,QB,2015,38,NWE,NFL,QB,16,16,34,53,3,14,41.2,13,1.6,3.3,2.1,1,1,36,36.0,0,1,100.0,36,0.1,2.3,100.0,36.0,35,2.5,89,3,6,"PB,AP MVP-2,AP OPoY-4"
BradTo00,Tom Brady,QB,2016,39,NWE,NFL,QB,12,12,28,64,0,11,42.9,15,2.3,5.3,2.3,0,0,0,,0,0,,,0.0,0.0,,,28,2.3,64,0,5,"PB,AP-2,AP MVP-2,AP OPoY-4"
BradTo00,Tom Brady,QB,2017,40,NWE,NFL,QB,16,16,25,28,0,8,32.0,7,1.1,1.8,1.6,0,0,0,,0,0,,,0.0,0.0,,,25,1.1,28,0,7,"PB,AP-1,AP MVP-1,AP OPoY-3"
BradTo00,Tom Brady,QB,2018,41,NWE,NFL,QB,16,16,23,35,2,10,43.5,10,1.5,2.2,1.4,1,1,6,6.0,0,0,0.0,6,0.1,0.4,100.0,6.0,24,1.7,41,2,4,PB
BradTo00,Tom Brady,QB,2019,42,NWE,NFL,QB,16,16,26,34,3,8,34.6,17,1.3,2.1,1.6,0,0,0,,0,0,,,0.0,0.0,,,26,1.3,34,3,4,
BradTo00,Tom Brady,QB,2020,43,TAM,NFL,QB,16,16,30,6,3,6,23.3,4,0.2,0.4,1.9,0,0,0,,0,0,,,0.0,0.0,,,30,0.2,6,3,4,
BradTo00,Tom Brady,QB,2021,44,TAM,NFL,QB,17,17,28,81,2,14,53.6,13,2.9,4.8,1.6,0,0,0,,0,0,,,0.0,0.0,,,28,2.9,81,2,4,"PB,AP-2,AP MVP-2,AP OPoY-3"
BradTo00,Tom Brady,QB,2022,45,TAM,NFL,QB,17,17,29,-1,1,5,17.2,2,0.0,-0.1,1.7,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,29,0.0,-1,1,5,
