player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
BushRe00,Reggie Bush,RB,2006,21,NOR,NFL,RB,16,8,155,565,6,28,43.9,18,3.6,35.3,9.7,121,88,742,8.4,2,34,43.8,74,5.5,46.4,72.7,6.1,243,5.4,1307,8,2,12,AP ORoY-5
BushRe00,Reggie Bush,RB,2007,22,NOR,NFL,RB,12,10,157,581,4,37,45.2,22,3.7,48.4,13.1,98,73,417,5.7,2,23,44.9,25,6.1,34.8,74.5,4.3,230,4.3,998,6,8,8,
BushRe00,Reggie Bush,RB,2008,23,NOR,NFL,RB,10,9,106,404,2,20,45.3,43,3.8,40.4,10.6,73,52,440,8.5,4,22,47.9,42,5.2,44.0,71.2,6.0,158,5.3,844,6,3,10,
BushRe00,Reggie Bush,RB,2009,24,NOR,NFL,RB,14,8,70,390,5,19,42.9,55,5.6,27.9,5.0,68,47,335,7.1,3,16,48.5,29,3.4,23.9,69.1,4.9,117,6.2,725,8,4,6,
BushRe00,Reggie Bush,RB,2010,25,NOR,NFL,RB,8,6,36,150,0,6,41.7,23,4.2,18.8,4.5,42,34,208,6.1,1,10,47.6,20,4.3,26.0,81.0,5.0,70,5.1,358,1,2,3,
BushRe00,Reggie Bush,RB,2011,26,MIA,NFL,RB,15,15,216,1086,6,41,43.5,76,5.0,72.4,14.4,52,43,296,6.9,1,12,38.5,34,2.9,19.7,82.7,5.7,259,5.3,1382,7,4,10,
BushRe00,Reggie Bush,RB,2012,27,MIA,NFL,RB,16,16,227,986,6,43,50.2,65,4.3,61.6,14.2,52,35,292,8.3,2,14,40.4,25,2.2,18.3,67.3,5.6,262,4.9,1278,8,4,8,
BushRe00,Reggie Bush,RB,2013,28,DET,NFL,RB,14,14,223,1006,4,49,44.8,39,4.5,71.9,15.9,80,54,506,9.4,3,22,45.0,77,3.9,36.1,67.5,6.3,277,5.5,1512,7,5,10,
BushRe00,Reggie Bush,RB,2014,29,DET,NFL,RB,11,9,76,297,2,9,43.4,26,3.9,27.0,6.9,56,40,253,6.3,0,13,39.3,28,3.6,23.0,71.4,4.5,116,4.7,550,2,0,4,
BushRe00,Reggie Bush,RB,2015,30,SFO,NFL,RB,5,1,8,28,0,0,12.5,9,3.5,5.6,1.6,10,4,19,4.8,0,1,10.0,8,0.8,3.8,40.0,1.9,12,3.9,47,0,0,0,
BushRe00,Reggie Bush,RB,2016,31,BUF,NFL,RB,13,0,12,-3,1,3,41.7,5,-0.3,-0.2,0.9,10,7,90,12.9,0,6,70.0,25,0.5,6.9,70.0,9.0,19,4.6,87,1,1,1,
