player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
WarnKu00,Kurt Warner,QB,1998,27,STL,NFL,QB,1,0,,4,11,36.4,39,0,0.0,0,0.0,2,27.3,21,3.5,3.55,9.8,39.0,47.2,,0,0,0.00,3.55,3.55,0,0,0,
WarnKu00,Kurt Warner,QB,1999,28,STL,NFL,QB,16,16,13-3-0,325,499,65.1,4353,41,8.2,13,2.6,197,50.8,75,8.7,9.19,13.4,272.1,109.2,,29,201,5.49,7.86,8.31,0,0,19,"PB,AP-1,AP MVP-1,AP OPoY-2"
WarnKu00,Kurt Warner,QB,2000,29,STL,NFL,QB,11,11,8-3-0,235,347,67.7,3429,21,6.1,18,5.2,153,55.6,85,9.9,8.76,14.6,311.7,98.3,,20,115,5.45,9.03,7.97,1,2,15,PB
WarnKu00,Kurt Warner,QB,2001,30,STL,NFL,QB,16,16,14-2-0,375,546,68.7,4830,36,6.6,22,4.0,233,53.8,65,8.8,8.35,12.9,301.9,101.4,,38,233,6.51,7.87,7.41,1,2,20,"PB,AP-1,AP MVP-1,AP OPoY-2"
WarnKu00,Kurt Warner,QB,2002,31,STL,NFL,QB,7,6,0-6-0,144,220,65.5,1431,3,1.4,11,5.0,68,46.9,43,6.5,4.53,9.9,204.4,67.4,,21,130,8.71,5.40,3.59,0,0,2,
WarnKu00,Kurt Warner,QB,2003,32,STL,NFL,QB,2,1,0-1-0,38,65,58.5,365,1,1.5,1,1.5,15,32.4,37,5.6,5.23,9.6,182.5,72.9,,6,38,8.45,4.61,4.25,0,0,1,
WarnKu00,Kurt Warner,QB,2004,33,NYG,NFL,QB,10,9,5-4-0,174,277,62.8,2054,6,2.2,4,1.4,94,44.6,62,7.4,7.20,11.8,205.4,86.5,,39,196,12.34,5.88,5.69,0,1,7,
WarnKu00,Kurt Warner,QB,2005,34,ARI,NFL,QB,10,10,2-8-0,242,375,64.5,2713,11,2.9,9,2.4,133,45.5,63,7.2,6.74,11.2,271.3,85.8,,23,158,5.78,6.42,5.95,2,2,7,
WarnKu00,Kurt Warner,QB,2006,35,ARI,NFL,QB,6,5,1-4-0,108,168,64.3,1377,6,3.6,5,3.0,65,47.3,64,8.2,7.57,12.8,229.5,89.3,45.2,14,104,7.69,6.99,6.42,0,0,5,
WarnKu00,Kurt Warner,QB,2007,36,ARI,NFL,QB,14,11,5-6-0,281,451,62.3,3417,27,6.0,17,3.8,169,48.2,62,7.6,7.08,12.2,244.1,89.8,67.9,20,140,4.25,6.96,6.48,1,1,10,
WarnKu00,Kurt Warner,QB,2008,37,ARI,NFL,QB,16,16,9-7-0,401,598,67.1,4583,30,5.0,14,2.3,224,51.4,79,7.7,7.61,11.4,286.4,96.9,68.5,26,182,4.17,7.05,7.00,1,1,16,"PB,AP MVP-7,AP CPoY-4"
WarnKu00,Kurt Warner,QB,2009,38,ARI,NFL,QB,15,15,10-5-0,339,513,66.1,3753,26,5.1,14,2.7,192,50.5,45,7.3,7.10,11.1,250.2,93.2,66.2,24,172,4.47,6.67,6.46,1,2,11,
