player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
MariDa00,Dan Marino,QB,1983,22,11,QB,168,,13,76,All 1983 Games
MariDa00,Dan Marino,QB,1984,23,16,QB,355,191,1,1,All 1984 Games
MariDa00,Dan Marino,QB,1985,24,16,QB,232,56,2,17,All 1985 Games
MariDa00,Dan Marino,QB,1986,25,16,QB,312,153,1,2,All 1986 Games
MariDa00,Dan Marino,QB,1987,26,12,QB,208,66,5,10,All 1987 Games
MariDa00,Dan Marino,QB,1988,27,16,QB,232,58,4,20,All 1988 Games
MariDa00,Dan Marino,QB,1989,28,16,QB,216,42,7,37,All 1989 Games
MariDa00,Dan Marino,QB,1990,29,16,QB,204,35,8,32,All 1990 Games
MariDa00,Dan Marino,QB,1991,30,16,QB,236,85,3,10,All 1991 Games
MariDa00,Dan Marino,QB,1992,31,16,QB,230,68,3,19,All 1992 Games
MariDa00,Dan Marino,QB,1993,32,5,QB,76,,28,,All 1993 Games
MariDa00,Dan Marino,QB,1994,33,16,QB,266,89,3,13,All 1994 Games
MariDa00,Dan Marino,QB,1995,34,14,QB,216,13,11,59,All 1995 Games
MariDa00,Dan Marino,QB,1996,35,13,QB,156,,13,75,All 1996 Games
MariDa00,Dan Marino,QB,1997,36,16,QB,184,,13,76,All 1997 Games
MariDa00,Dan Marino,QB,1998,37,16,QB,200,4,10,63,All 1998 Games
MariDa00,Dan Marino,QB,1999,38,11,QB,105,,28,,All 1999 Games
