player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
HenrHu00,Hunter Henry,TE,2016,22,SDG,NFL,TE,15,10,53,36,478,13.3,8,30,62.3,59,2.4,31.9,67.9,9.0,0,0,0,0,0.0,0.0,36,13.3,478,8,1,4,
HenrHu00,Hunter Henry,TE,2017,23,LAC,NFL,TE,14,13,62,45,579,12.9,4,32,67.7,34,3.2,41.4,72.6,9.3,0,0,0,0,0.0,0.0,45,12.9,579,4,0,5,
HenrHu00,Hunter Henry,TE,2018,24,LAC,NFL,TE,0,0,0,0,0,,0,0,,,,,,,0,0,0,0,,,0,,0,0,0,0,
HenrHu00,Hunter Henry,TE,2019,25,LAC,NFL,TE,12,12,76,55,652,11.9,5,36,67.1,30,4.6,54.3,72.4,8.6,0,0,0,0,0.0,0.0,55,11.9,652,5,1,5,
HenrHu00,Hunter Henry,TE,2020,26,LAC,NFL,TE,14,14,93,60,613,10.2,4,35,51.6,33,4.3,43.8,64.5,6.6,0,0,0,0,0.0,0.0,60,10.2,613,4,0,5,
HenrHu00,Hunter Henry,TE,2021,27,NWE,NFL,TE,17,10,75,50,603,12.1,9,34,62.7,35,2.9,35.5,66.7,8.0,0,0,0,0,0.0,0.0,50,12.1,603,9,0,6,
HenrHu00,Hunter Henry,TE,2022,28,NWE,NFL,TE,17,14,59,41,509,12.4,2,23,50.8,39,2.4,29.9,69.5,8.6,0,0,0,0,0.0,0.0,41,12.4,509,2,0,4,
HenrHu00,Hunter Henry,TE,2023,29,NWE,NFL,TE,14,10,61,42,419,10.0,6,29,63.9,24,3.0,29.9,68.9,6.9,0,0,0,0,0.0,0.0,42,10.0,419,6,1,3,
HenrHu00,Hunter Henry,TE,2024,30,NWE,NFL,TE,16,16,97,66,674,10.2,2,40,56.7,35,4.1,42.1,68.0,6.9,0,0,0,0,0.0,0.0,66,10.2,674,2,0,6,
HenrHu00,Hunter Henry,TE,2025,31,NWE,NFL,TE,9,9,43,29,368,12.7,4,22,62.8,31,3.2,40.9,67.4,8.6,0,0,0,0,0.0,0.0,29,12.7,368,4,0,,
