player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
ElwaJo00,John Elway,QB,1983,23,DEN,NFL,QB,11,10,28,146,1,11,46.4,23,5.2,13.3,2.5,0,0,0,,0,0,,,0.0,0.0,,,28,5.2,146,1,6,
ElwaJo00,John Elway,QB,1984,24,DEN,NFL,QB,15,14,56,237,1,16,41.1,21,4.2,15.8,3.7,0,0,0,,0,0,,,0.0,0.0,,,56,4.2,237,1,14,
ElwaJo00,John Elway,QB,1985,25,DEN,NFL,QB,16,16,51,253,0,20,52.9,22,5.0,15.8,3.2,0,0,0,,0,0,,,0.0,0.0,,,51,5.0,253,0,7,
ElwaJo00,John Elway,QB,1986,26,DEN,NFL,QB,16,16,52,257,1,21,53.8,24,4.9,16.1,3.3,1,1,23,23.0,1,1,100.0,23,0.1,1.4,100.0,23.0,53,5.3,280,2,8,"PB,AP MVP-5,AP OPoY-5"
ElwaJo00,John Elway,QB,1987,27,DEN,NFL,QB,12,12,66,304,4,28,51.5,29,4.6,25.3,5.5,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,66,4.6,304,4,2,"PB,AP-2,AP MVP-1,AP OPoY-3"
ElwaJo00,John Elway,QB,1988,28,DEN,NFL,QB,15,15,54,234,1,19,42.6,26,4.3,15.6,3.6,0,0,0,,0,0,,,0.0,0.0,,,54,4.3,234,1,7,
ElwaJo00,John Elway,QB,1989,29,DEN,NFL,QB,15,15,48,244,3,18,45.8,31,5.1,16.3,3.2,0,0,0,,0,0,,,0.0,0.0,,,48,5.1,244,3,9,PB
ElwaJo00,John Elway,QB,1990,30,DEN,NFL,QB,16,16,50,258,3,24,56.0,21,5.2,16.1,3.1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,50,5.2,258,3,8,
ElwaJo00,John Elway,QB,1991,31,DEN,NFL,QB,16,16,55,255,6,24,58.2,17,4.6,15.9,3.4,1,1,24,24.0,0,1,100.0,24,0.1,1.5,100.0,24.0,56,5.0,279,6,12,PB
ElwaJo00,John Elway,QB,1992,32,DEN,NFL,QB,12,12,34,94,2,13,47.1,9,2.8,7.8,2.8,0,0,0,,0,0,,,0.0,0.0,,,34,2.8,94,2,12,
ElwaJo00,John Elway,QB,1993,33,DEN,NFL,QB,16,16,44,153,0,11,34.1,18,3.5,9.6,2.8,0,0,0,,0,0,,,0.0,0.0,,,44,3.5,153,0,8,"PB,AP-2,AP MVP-4,AP OPoY-4"
ElwaJo00,John Elway,QB,1994,34,DEN,NFL,QB,14,14,58,235,4,17,56.9,22,4.1,16.8,4.1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,58,4.1,235,4,11,PB
ElwaJo00,John Elway,QB,1995,35,DEN,NFL,QB,16,16,41,176,1,17,56.1,25,4.3,11.0,2.6,0,0,0,,0,0,,,0.0,0.0,,,41,4.3,176,1,9,
ElwaJo00,John Elway,QB,1996,36,DEN,NFL,QB,15,15,50,249,4,19,48.0,22,5.0,16.6,3.3,0,0,0,,0,0,,,0.0,0.0,,,50,5.0,249,4,6,"PB,AP-2,AP MVP-2,AP OPoY-3"
ElwaJo00,John Elway,QB,1997,37,DEN,NFL,QB,16,16,50,218,1,13,42.0,23,4.4,13.6,3.1,0,0,0,,0,0,,,0.0,0.0,,,50,4.4,218,1,11,PB
ElwaJo00,John Elway,QB,1998,38,DEN,NFL,QB,13,12,37,94,1,10,35.1,16,2.5,7.2,2.8,1,1,14,14.0,0,1,100.0,14,0.1,1.1,100.0,14.0,38,2.8,108,1,7,PB
