player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
PeteAd01,Adrian Peterson,RB,2007,22,MIN,NFL,RB,14,9,238,1341,12,63,45.0,73,5.6,95.8,17.0,28,19,268,14.1,1,14,57.1,60,1.4,19.1,67.9,9.6,257,6.3,1609,13,4,12,"PB,AP-2,AP ORoY-1"
PeteAd01,Adrian Peterson,RB,2008,23,MIN,NFL,RB,16,15,363,1760,10,82,45.5,67,4.8,110.0,22.7,39,21,125,6.0,0,4,25.6,16,1.3,7.8,53.8,3.2,384,4.9,1885,10,9,13,"PB,AP-1,AP MVP-4,AP OPoY-2"
PeteAd01,Adrian Peterson,RB,2009,24,MIN,NFL,RB,16,15,314,1383,18,76,44.6,64,4.4,86.4,19.6,57,43,436,10.1,0,16,47.4,63,2.7,27.3,75.4,7.6,357,5.1,1819,18,7,16,"PB,AP-1"
PeteAd01,Adrian Peterson,RB,2010,25,MIN,NFL,RB,15,15,283,1298,12,71,45.6,80,4.6,86.5,18.9,50,36,341,9.5,1,17,48.0,34,2.4,22.7,72.0,6.8,319,5.1,1639,13,1,11,"PB,AP-2"
PeteAd01,Adrian Peterson,RB,2011,26,MIN,NFL,RB,12,12,208,970,12,48,45.7,54,4.7,80.8,17.3,24,18,139,7.7,1,5,29.2,22,1.5,11.6,75.0,5.8,226,4.9,1109,13,1,8,
PeteAd01,Adrian Peterson,RB,2012,27,MIN,NFL,RB,16,16,348,2097,12,88,46.8,82,6.0,131.1,21.8,51,40,217,5.4,1,11,45.1,20,2.5,13.6,78.4,4.3,388,6.0,2314,13,4,19,"PB,AP-1,AP MVP-1,AP OPoY-1,AP CPoY-2"
PeteAd01,Adrian Peterson,RB,2013,28,MIN,NFL,RB,14,14,279,1266,10,61,43.7,78,4.5,90.4,19.9,40,29,171,5.9,1,11,42.5,22,2.1,12.2,72.5,4.3,308,4.7,1437,11,5,11,"PB,AP-2"
PeteAd01,Adrian Peterson,RB,2014,29,MIN,NFL,RB,1,1,21,75,0,4,42.9,17,3.6,75.0,21.0,3,2,18,9.0,0,1,66.7,9,2.0,18.0,66.7,6.0,23,4.0,93,0,0,1,
PeteAd01,Adrian Peterson,RB,2015,30,MIN,NFL,RB,16,16,327,1485,11,72,44.3,80,4.5,92.8,20.4,36,30,222,7.4,0,9,41.7,49,1.9,13.9,83.3,6.2,357,4.8,1707,11,7,14,"PB,AP-1,AP OPoY-7,AP CPoY-3"
PeteAd01,Adrian Peterson,RB,2016,31,MIN,NFL,RB,3,3,37,72,0,3,35.1,13,1.9,24.0,12.3,6,3,8,2.7,0,0,0.0,7,1.0,2.7,50.0,1.3,40,2.0,80,0,1,1,
PeteAd01,Adrian Peterson,RB,2017,32,2TM,NFL,RB,10,7,156,529,2,21,39.1,27,3.4,52.9,15.6,19,11,70,6.4,0,3,31.6,13,1.1,7.0,57.9,3.7,167,3.6,599,2,3,4,
PeteAd01,Adrian Peterson,RB,2017,32,NOR,NFL,RB,4,1,27,81,0,5,44.4,11,3.0,20.3,6.8,3,2,4,2.0,0,0,0.0,3,0.5,1.0,66.7,1.3,29,2.9,85,0,0,1,
PeteAd01,Adrian Peterson,RB,2017,32,ARI,NFL,RB,6,6,129,448,2,16,38.0,27,3.5,74.7,21.5,16,9,66,7.3,0,3,37.5,13,1.5,11.0,56.3,4.1,138,3.7,514,2,3,3,
PeteAd01,Adrian Peterson,RB,2018,33,WAS,NFL,RB,16,16,251,1042,7,47,45.8,90,4.2,65.1,15.7,26,20,208,10.4,1,9,50.0,52,1.3,13.0,76.9,8.0,271,4.6,1250,8,3,7,AP CPoY-3
PeteAd01,Adrian Peterson,RB,2019,34,WAS,NFL,RB,15,15,211,898,5,41,46.0,32,4.3,59.9,14.1,23,17,142,8.4,0,7,47.8,22,1.1,9.5,73.9,6.2,228,4.6,1040,5,3,6,
PeteAd01,Adrian Peterson,RB,2020,35,DET,NFL,RB,16,10,156,604,7,34,44.2,38,3.9,37.8,9.8,18,12,101,8.4,0,4,55.6,23,0.8,6.3,66.7,5.6,168,4.2,705,7,0,5,
PeteAd01,Adrian Peterson,RB,2021,36,2TM,NFL,RB,4,3,38,98,2,6,42.1,16,2.6,24.5,9.5,4,4,8,2.0,0,0,25.0,5,1.0,2.0,100.0,2.0,42,2.5,106,2,1,1,
PeteAd01,Adrian Peterson,RB,2021,36,TEN,NFL,RB,3,2,27,82,1,4,44.4,16,3.0,27.3,9.0,4,4,8,2.0,0,0,25.0,5,1.3,2.7,100.0,2.0,31,2.9,90,1,0,1,
PeteAd01,Adrian Peterson,RB,2021,36,SEA,NFL,RB,1,1,11,16,1,2,36.4,7,1.5,16.0,11.0,0,0,0,,0,0,,,0.0,0.0,,,11,1.5,16,1,1,0,
