player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
JoneTh00,Thomas Jones,RB,2000,22,ARI,NFL,RB,14,4,112,373,2,23,45.5,29,3.3,26.6,8.0,46,32,208,6.5,0,9,41.3,20,2.3,14.9,69.6,4.5,144,4.0,581,2,4,4,
JoneTh00,Thomas Jones,RB,2001,23,ARI,NFL,RB,16,2,112,380,5,22,43.8,21,3.4,23.8,7.0,24,21,151,7.2,0,6,45.8,18,1.3,9.4,87.5,6.3,133,4.0,531,5,2,4,
JoneTh00,Thomas Jones,RB,2002,24,ARI,NFL,RB,9,9,138,511,2,24,41.3,58,3.7,56.8,15.3,30,20,113,5.7,0,4,36.7,17,2.2,12.6,66.7,3.8,158,3.9,624,2,3,4,
JoneTh00,Thomas Jones,RB,2003,25,TAM,NFL,RB,16,3,137,627,3,24,42.3,61,4.6,39.2,8.6,31,24,180,7.5,0,9,45.2,29,1.5,11.3,77.4,5.8,161,5.0,807,3,4,5,
JoneTh00,Thomas Jones,RB,2004,26,CHI,NFL,RB,14,14,240,948,7,49,45.8,54,4.0,67.7,17.1,72,56,427,7.6,0,17,41.7,45,4.0,30.5,77.8,5.9,296,4.6,1375,7,2,6,
JoneTh00,Thomas Jones,RB,2005,27,CHI,NFL,RB,15,15,314,1335,9,63,38.9,42,4.3,89.0,20.9,39,26,143,5.5,0,6,30.8,41,1.7,9.5,66.7,3.7,340,4.3,1478,9,2,9,
JoneTh00,Thomas Jones,RB,2006,28,CHI,NFL,RB,16,16,296,1210,6,63,47.3,30,4.1,75.6,18.5,47,36,154,4.3,0,6,31.9,21,2.3,9.6,76.6,3.3,332,4.1,1364,6,1,9,
JoneTh00,Thomas Jones,RB,2007,29,NYJ,NFL,RB,16,14,310,1119,1,57,42.3,36,3.6,69.9,19.4,34,28,217,7.8,1,8,47.1,25,1.8,13.6,82.4,6.4,338,4.0,1336,2,2,7,
JoneTh00,Thomas Jones,RB,2008,30,NYJ,NFL,RB,16,14,290,1312,13,63,51.4,59,4.5,82.0,18.1,42,36,207,5.8,2,13,57.1,19,2.3,12.9,85.7,4.9,326,4.7,1519,15,2,13,PB
JoneTh00,Thomas Jones,RB,2009,31,NYJ,NFL,RB,16,16,331,1402,14,66,42.6,71,4.2,87.6,20.7,18,10,58,5.8,0,4,27.8,28,0.6,3.6,55.6,3.2,341,4.3,1460,14,2,8,
JoneTh00,Thomas Jones,RB,2010,32,KAN,NFL,RB,16,10,245,896,6,39,41.6,70,3.7,56.0,15.3,20,14,122,8.7,0,8,50.0,20,0.9,7.6,70.0,6.1,259,3.9,1018,6,3,7,
JoneTh00,Thomas Jones,RB,2011,33,KAN,NFL,RB,16,8,153,478,0,19,34.6,26,3.1,29.9,9.6,7,5,43,8.6,0,1,42.9,27,0.3,2.7,71.4,6.1,158,3.3,521,0,0,2,
