player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
JameEd00,Edgerrin James,RB,1999,21,IND,NFL,RB,16,16,369,1553,13,86,42.3,72,4.2,97.1,23.1,87,62,586,9.5,4,23,42.5,54,3.9,36.6,71.3,6.7,431,5.0,2139,17,8,21,"PB,AP-1,AP MVP-4,AP OPoY-3,AP ORoY-1"
JameEd00,Edgerrin James,RB,2000,22,IND,NFL,RB,16,16,387,1709,13,100,53.0,30,4.4,106.8,24.2,87,63,594,9.4,5,24,52.9,60,3.9,37.1,72.4,6.8,450,5.1,2303,18,5,20,"PB,AP-2,AP OPoY-2"
JameEd00,Edgerrin James,RB,2001,23,IND,NFL,RB,6,6,151,662,3,42,53.6,29,4.4,110.3,25.2,29,24,193,8.0,0,9,51.7,27,4.0,32.2,82.8,6.7,175,4.9,855,3,3,7,
JameEd00,Edgerrin James,RB,2002,24,IND,NFL,RB,14,14,277,989,2,59,45.8,20,3.6,70.6,19.8,80,61,354,5.8,1,17,36.3,23,4.4,25.3,76.3,4.4,338,4.0,1343,3,4,9,AP CPoY-5
JameEd00,Edgerrin James,RB,2003,25,IND,NFL,RB,13,13,310,1259,11,84,49.4,43,4.1,96.8,23.8,71,51,292,5.7,0,9,39.4,17,3.9,22.5,71.8,4.1,361,4.3,1551,11,5,15,
JameEd00,Edgerrin James,RB,2004,26,IND,NFL,RB,16,16,334,1548,9,78,56.0,40,4.6,96.8,20.9,60,51,483,9.5,0,20,56.7,56,3.2,30.2,85.0,8.1,385,5.3,2031,9,6,21,"PB,AP-2"
JameEd00,Edgerrin James,RB,2005,27,IND,NFL,RB,15,15,360,1506,13,97,58.9,33,4.2,100.4,24.0,50,44,337,7.7,1,22,56.0,20,2.9,22.5,88.0,6.7,404,4.6,1843,14,2,19,PB
JameEd00,Edgerrin James,RB,2006,28,ARI,NFL,RB,16,16,337,1159,6,61,45.1,18,3.4,72.4,21.1,61,38,217,5.7,0,10,39.3,14,2.4,13.6,62.3,3.6,375,3.7,1376,6,3,8,
JameEd00,Edgerrin James,RB,2007,29,ARI,NFL,RB,16,16,324,1222,7,57,44.8,27,3.8,76.4,20.3,39,24,204,8.5,0,9,43.6,26,1.5,12.8,61.5,5.2,348,4.1,1426,7,5,9,
JameEd00,Edgerrin James,RB,2008,30,ARI,NFL,RB,13,7,133,514,3,25,41.4,35,3.9,39.5,10.2,18,12,85,7.1,0,4,38.9,16,0.9,6.5,66.7,4.7,145,4.1,599,3,2,5,
JameEd00,Edgerrin James,RB,2009,31,SEA,NFL,RB,7,0,46,125,0,8,41.3,10,2.7,17.9,6.6,3,3,19,6.3,0,1,66.7,7,0.4,2.7,100.0,6.3,49,2.9,144,0,1,1,
