player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
KelcTr00,Travis Kelce,TE,2013,24,1,TE,,,114,,All 2013 Games
KelcTr00,Travis Kelce,TE,2014,25,16,TE,116,26,8,48,All 2014 Games
KelcTr00,Travis Kelce,TE,2015,26,16,TE,118,30,7,42,All 2015 Games
KelcTr00,Travis Kelce,TE,2016,27,16,TE,138,51,1,21,All 2016 Games
KelcTr00,Travis Kelce,TE,2017,28,15,TE,151,69,2,13,All 2017 Games
KelcTr00,Travis Kelce,TE,2018,29,16,TE,192,109,1,8,All 2018 Games
KelcTr00,Travis Kelce,TE,2019,30,16,TE,157,80,1,8,All 2019 Games
KelcTr00,Travis Kelce,TE,2020,31,15,TE,208,117,1,5,All 2020 Games
KelcTr00,Travis Kelce,TE,2021,32,16,TE,171,74,2,15,All 2021 Games
KelcTr00,Travis Kelce,TE,2022,33,17,TE,206,114,1,9,All 2022 Games
KelcTr00,Travis Kelce,TE,2023,34,15,TE,126,40,3,26,All 2023 Games
KelcTr00,Travis Kelce,TE,2024,35,16,TE,98,13,10,59,All 2024 Games
KelcTr00,Travis Kelce,TE,2025,36,9,TE,74,18,4,41,All 2025 Games
