player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
RiceJe00,Jerry Rice,WR,1985,23,16,WR,118,10,23,59,All 1985 Games
RiceJe00,Jerry Rice,WR,1986,24,16,WR,259,158,1,1,All 1986 Games
RiceJe00,Jerry Rice,WR,1987,25,12,WR,249,160,1,1,All 1987 Games
RiceJe00,Jerry Rice,WR,1988,26,16,WR,198,89,2,7,All 1988 Games
RiceJe00,Jerry Rice,WR,1989,27,16,WR,254,149,1,2,All 1989 Games
RiceJe00,Jerry Rice,WR,1990,28,16,WR,227,119,1,5,All 1990 Games
RiceJe00,Jerry Rice,WR,1991,29,16,WR,204,102,1,5,All 1991 Games
RiceJe00,Jerry Rice,WR,1992,30,16,WR,190,99,2,10,All 1992 Games
RiceJe00,Jerry Rice,WR,1993,31,16,WR,250,145,1,1,All 1993 Games
RiceJe00,Jerry Rice,WR,1994,32,16,WR,249,139,1,3,All 1994 Games
RiceJe00,Jerry Rice,WR,1995,33,16,WR,292,174,1,2,All 1995 Games
RiceJe00,Jerry Rice,WR,1996,34,16,WR,187,72,4,18,All 1996 Games
RiceJe00,Jerry Rice,WR,1997,35,2,WR,13,,116,,All 1997 Games
RiceJe00,Jerry Rice,WR,1998,36,16,WR,170,45,10,30,All 1998 Games
RiceJe00,Jerry Rice,WR,1999,37,16,WR,114,,37,,All 1999 Games
RiceJe00,Jerry Rice,WR,2000,38,16,WR,118,7,26,66,All 2000 Games
RiceJe00,Jerry Rice,WR,2001,39,16,WR,168,39,12,35,All 2001 Games
RiceJe00,Jerry Rice,WR,2002,40,16,WR,163,44,11,33,All 2002 Games
RiceJe00,Jerry Rice,WR,2003,41,16,WR,97,,38,,All 2003 Games
RiceJe00,Jerry Rice,WR,2004,42,17,WR,61,,64,,All 2004 Games
