player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
JohnBr00,Brad Johnson,QB,1994,26,MIN,NFL,QB,4,0,2,-2,0,0,0.0,-1,-1.0,-0.5,0.5,0,0,0,,0,0,,,0.0,0.0,,,2,-1.0,-2,0,0,
JohnBr00,Brad Johnson,QB,1995,27,MIN,NFL,QB,5,0,9,-9,0,1,11.1,3,-1.0,-1.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,9,-1.0,-9,0,2,
JohnBr00,Brad Johnson,QB,1996,28,MIN,NFL,QB,12,8,34,90,1,13,47.1,13,2.6,7.5,2.8,0,0,0,,0,0,,,0.0,0.0,,,34,2.6,90,1,5,
JohnBr00,Brad Johnson,QB,1997,29,MIN,NFL,QB,13,13,35,139,0,13,48.6,28,4.0,10.7,2.7,1,1,3,3.0,1,1,100.0,3,0.1,0.2,100.0,3.0,36,3.9,142,1,4,
JohnBr00,Brad Johnson,QB,1998,30,MIN,NFL,QB,4,2,12,15,0,2,33.3,6,1.3,3.8,3.0,0,0,0,,0,0,,,0.0,0.0,,,12,1.3,15,0,1,
JohnBr00,Brad Johnson,QB,1999,31,WAS,NFL,QB,16,16,26,31,2,11,23.1,12,1.2,1.9,1.6,0,0,0,,0,0,,,0.0,0.0,,,26,1.2,31,2,12,"PB,AP CPoY-2"
JohnBr00,Brad Johnson,QB,2000,32,WAS,NFL,QB,12,11,22,58,1,6,27.3,21,2.6,4.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,22,2.6,58,1,5,
JohnBr00,Brad Johnson,QB,2001,33,TAM,NFL,QB,16,16,39,120,3,19,59.0,21,3.1,7.5,2.4,0,0,0,,0,0,,,0.0,0.0,,,39,3.1,120,3,4,
JohnBr00,Brad Johnson,QB,2002,34,TAM,NFL,QB,13,13,13,30,0,4,53.8,6,2.3,2.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,13,2.3,30,0,8,PB
JohnBr00,Brad Johnson,QB,2003,35,TAM,NFL,QB,16,16,25,33,0,4,28.0,13,1.3,2.1,1.6,1,0,-2,,0,0,0.0,-2,0.0,-0.1,0.0,-2.0,25,1.2,31,0,6,
JohnBr00,Brad Johnson,QB,2004,36,TAM,NFL,QB,4,4,5,23,0,1,60.0,7,4.6,5.8,1.3,0,0,0,,0,0,,,0.0,0.0,,,5,4.6,23,0,2,
JohnBr00,Brad Johnson,QB,2005,37,MIN,NFL,QB,15,9,18,53,0,2,16.7,16,2.9,3.5,1.2,0,0,0,,0,0,,,0.0,0.0,,,18,2.9,53,0,5,
JohnBr00,Brad Johnson,QB,2006,38,MIN,NFL,QB,15,14,29,82,1,6,44.8,10,2.8,5.5,1.9,0,0,0,,0,0,,,0.0,0.0,,,29,2.8,82,1,9,
JohnBr00,Brad Johnson,QB,2007,39,DAL,NFL,QB,16,0,5,-5,0,0,0.0,,-1.0,-0.3,0.3,0,0,0,,0,0,,,0.0,0.0,,,5,-1.0,-5,0,0,
JohnBr00,Brad Johnson,QB,2008,40,DAL,NFL,QB,16,3,2,-1,0,0,0.0,,-0.5,-0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,2,-0.5,-1,0,1,
