player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
BledDr00,Drew Bledsoe,QB,1993,21,NWE,NFL,QB,13,12,32,82,0,6,28.1,15,2.6,6.3,2.5,0,0,0,,0,0,,,0.0,0.0,,,32,2.6,82,0,8,
BledDr00,Drew Bledsoe,QB,1994,22,NWE,NFL,QB,16,16,44,40,0,13,36.4,7,0.9,2.5,2.8,0,0,0,,0,0,,,0.0,0.0,,,44,0.9,40,0,9,PB
BledDr00,Drew Bledsoe,QB,1995,23,NWE,NFL,QB,15,15,20,28,0,4,20.0,15,1.4,1.9,1.3,1,1,-9,-9.0,0,0,0.0,-9,0.1,-0.6,100.0,-9.0,21,0.9,19,0,11,
BledDr00,Drew Bledsoe,QB,1996,24,NWE,NFL,QB,16,16,24,27,0,7,29.2,8,1.1,1.7,1.5,0,0,0,,0,0,,,0.0,0.0,,,24,1.1,27,0,9,PB
BledDr00,Drew Bledsoe,QB,1997,25,NWE,NFL,QB,16,16,28,55,0,10,50.0,8,2.0,3.4,1.8,0,0,0,,0,0,,,0.0,0.0,,,28,2.0,55,0,4,PB
BledDr00,Drew Bledsoe,QB,1998,26,NWE,NFL,QB,14,14,28,44,0,7,42.9,10,1.6,3.1,2.0,0,0,0,,0,0,,,0.0,0.0,,,28,1.6,44,0,9,
BledDr00,Drew Bledsoe,QB,1999,27,NWE,NFL,QB,16,16,42,101,0,12,31.0,25,2.4,6.3,2.6,0,0,0,,0,0,,,0.0,0.0,,,42,2.4,101,0,8,
BledDr00,Drew Bledsoe,QB,2000,28,NWE,NFL,QB,16,16,47,158,2,14,44.7,16,3.4,9.9,2.9,0,0,0,,0,0,,,0.0,0.0,,,47,3.4,158,2,9,
BledDr00,Drew Bledsoe,QB,2001,29,NWE,NFL,QB,2,2,5,18,0,1,20.0,8,3.6,9.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,3.6,18,0,1,
BledDr00,Drew Bledsoe,QB,2002,30,BUF,NFL,QB,16,16,27,67,2,10,48.1,11,2.5,4.2,1.7,0,0,0,,0,0,,,0.0,0.0,,,27,2.5,67,2,11,"PB,AP CPoY-3"
BledDr00,Drew Bledsoe,QB,2003,31,BUF,NFL,QB,16,16,24,29,2,5,25.0,11,1.2,1.8,1.5,0,0,0,,0,0,,,0.0,0.0,,,24,1.2,29,2,15,
BledDr00,Drew Bledsoe,QB,2004,32,BUF,NFL,QB,16,16,22,37,0,3,31.8,17,1.7,2.3,1.4,0,0,0,,0,0,,,0.0,0.0,,,22,1.7,37,0,9,
BledDr00,Drew Bledsoe,QB,2005,33,DAL,NFL,QB,16,16,34,50,2,7,29.4,9,1.5,3.1,2.1,0,0,0,,0,0,,,0.0,0.0,,,34,1.5,50,2,17,
BledDr00,Drew Bledsoe,QB,2006,34,DAL,NFL,QB,6,6,8,28,2,6,75.0,11,3.5,4.7,1.3,0,0,0,,0,0,,,0.0,0.0,,,8,3.5,28,2,3,
