player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
SmitGe00,Geno Smith,QB,2013,23,NYJ,NFL,QB,16,16,72,366,6,24,50.0,32,5.1,22.9,4.5,1,1,13,13.0,0,1,100.0,13,0.1,0.8,100.0,13.0,73,5.2,379,6,8,
SmitGe00,Geno Smith,QB,2014,24,NYJ,NFL,QB,14,13,59,238,1,18,42.4,18,4.0,17.0,4.2,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,59,4.0,238,1,8,
SmitGe00,Geno Smith,QB,2015,25,NYJ,NFL,QB,1,0,2,34,0,1,100.0,29,17.0,34.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,17.0,34,0,0,
SmitGe00,Geno Smith,QB,2016,26,NYJ,NFL,QB,2,1,2,9,0,1,50.0,7,4.5,4.5,1.0,0,0,0,,0,0,,,0.0,0.0,,,2,4.5,9,0,1,
SmitGe00,Geno Smith,QB,2017,27,NYG,NFL,QB,2,1,4,12,0,2,50.0,10,3.0,6.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,4,3.0,12,0,2,
SmitGe00,Geno Smith,QB,2018,28,LAC,NFL,QB,5,0,8,2,0,0,12.5,9,0.3,0.4,1.6,0,0,0,,0,0,,,0.0,0.0,,,8,0.3,2,0,1,
SmitGe00,Geno Smith,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitGe00,Geno Smith,QB,2020,30,SEA,NFL,QB,1,0,2,-2,0,0,0.0,,-1.0,-2.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,-1.0,-2,0,1,
SmitGe00,Geno Smith,QB,2021,31,SEA,NFL,QB,4,3,9,42,1,3,77.8,12,4.7,10.5,2.3,0,0,0,,0,0,,,0.0,0.0,,,9,4.7,42,1,1,
SmitGe00,Geno Smith,QB,2022,32,SEA,NFL,QB,17,17,68,366,1,24,55.9,25,5.4,21.5,4.0,0,0,0,,0,0,,,0.0,0.0,,,68,5.4,366,1,8,"PB,AP MVP-9,AP CPoY-1"
SmitGe00,Geno Smith,QB,2023,33,SEA,NFL,QB,15,15,37,155,1,10,40.5,25,4.2,10.3,2.5,1,1,-2,-2.0,0,0,0.0,-2,0.1,-0.1,100.0,-2.0,38,4.0,153,1,5,PB
SmitGe00,Geno Smith,QB,2024,34,SEA,NFL,QB,17,17,53,272,2,17,35.8,34,5.1,16.0,3.1,0,0,0,,0,0,,,0.0,0.0,,,53,5.1,272,2,9,
SmitGe00,Geno Smith,QB,2025,35,LVR,NFL,QB,9,9,30,88,0,11,43.3,20,2.9,9.8,3.3,0,0,0,,0,0,,,0.0,0.0,,,30,2.9,88,0,1,
