player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
CutlJa00,Jay Cutler,QB,2006,23,DEN,NFL,QB,5,5,12,18,0,1,25.0,9,1.5,3.6,2.4,0,0,0,0,0,0.0,0.0,12,1.5,18,0,8,
CutlJa00,Jay Cutler,QB,2007,24,DEN,NFL,QB,16,16,44,205,1,15,45.5,31,4.7,12.8,2.8,0,0,0,0,0,0.0,0.0,44,4.7,205,1,11,
CutlJa00,Jay Cutler,QB,2008,25,DEN,NFL,QB,16,16,57,200,2,14,42.1,18,3.5,12.5,3.6,0,0,0,0,0,0.0,0.0,57,3.5,200,2,5,PB
CutlJa00,Jay Cutler,QB,2009,26,CHI,NFL,QB,16,16,40,173,1,14,40.0,30,4.3,10.8,2.5,0,0,0,0,0,0.0,0.0,40,4.3,173,1,9,
CutlJa00,Jay Cutler,QB,2010,27,CHI,NFL,QB,15,15,50,232,1,18,48.0,25,4.6,15.5,3.3,0,0,0,0,0,0.0,0.0,50,4.6,232,1,10,
CutlJa00,Jay Cutler,QB,2011,28,CHI,NFL,QB,10,10,18,55,1,4,27.8,12,3.1,5.5,1.8,0,0,0,0,0,0.0,0.0,18,3.1,55,1,7,
CutlJa00,Jay Cutler,QB,2012,29,CHI,NFL,QB,15,15,41,233,0,15,51.2,24,5.7,15.5,2.7,0,0,0,0,0,0.0,0.0,41,5.7,233,0,8,
CutlJa00,Jay Cutler,QB,2013,30,CHI,NFL,QB,11,11,23,118,0,7,43.5,18,5.1,10.7,2.1,0,0,0,0,0,0.0,0.0,23,5.1,118,0,5,
CutlJa00,Jay Cutler,QB,2014,31,CHI,NFL,QB,15,15,39,191,2,14,38.5,25,4.9,12.7,2.6,0,0,0,0,0,0.0,0.0,39,4.9,191,2,12,
CutlJa00,Jay Cutler,QB,2015,32,CHI,NFL,QB,15,15,38,201,1,16,63.2,26,5.3,13.4,2.5,0,0,0,0,0,0.0,0.0,38,5.3,201,1,8,
CutlJa00,Jay Cutler,QB,2016,33,CHI,NFL,QB,5,5,5,24,0,1,40.0,12,4.8,4.8,1.0,0,0,0,0,0,0.0,0.0,5,4.8,24,0,6,
CutlJa00,Jay Cutler,QB,2017,34,MIA,NFL,QB,14,14,19,32,0,3,31.6,9,1.7,2.3,1.4,0,0,0,0,0,0.0,0.0,19,1.7,32,0,6,
