player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
WilsRu00,Russell Wilson,QB,2012,24,SEA,NFL,QB,16,16,11-5-0,252,393,64.1,3118,26,6.6,10,2.5,153,48.1,67,7.9,8.11,12.4,194.9,100.0,72.7,33,203,7.75,6.84,7.01,3,4,16,"PB,AP ORoY-3"
WilsRu00,Russell Wilson,QB,2013,25,SEA,NFL,QB,16,16,13-3-0,257,407,63.1,3357,26,6.4,9,2.2,157,44.8,80,8.2,8.53,13.1,209.8,101.2,67.2,44,272,9.76,6.84,7.10,3,4,17,"PB,AP OPoY-4"
WilsRu00,Russell Wilson,QB,2014,26,SEA,NFL,QB,16,16,12-4-0,285,452,63.1,3475,20,4.4,7,1.5,161,42.5,80,7.7,7.88,12.2,217.2,95.0,69.7,42,242,8.50,6.54,6.72,1,4,19,PB
WilsRu00,Russell Wilson,QB,2015,27,SEA,NFL,QB,16,16,10-6-0,329,483,68.1,4024,34,7.0,8,1.7,190,50.8,80,8.3,8.99,12.2,251.5,110.1,68.6,45,265,8.52,7.12,7.73,2,2,19,"PB,AP OPoY-3"
WilsRu00,Russell Wilson,QB,2016,28,SEA,NFL,QB,16,16,10-5-1,353,546,64.7,4219,21,3.8,11,2.0,193,47.2,59,7.7,7.59,12.0,263.7,92.6,57.1,41,293,6.98,6.69,6.56,4,3,14,
WilsRu00,Russell Wilson,QB,2017,29,SEA,NFL,QB,16,16,9-7-0,339,553,61.3,3983,34,6.1,11,2.0,189,43.8,74,7.2,7.54,11.7,248.9,95.4,62.4,43,322,7.21,6.14,6.45,2,2,15,PB
WilsRu00,Russell Wilson,QB,2018,30,SEA,NFL,QB,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,156,44.1,66,8.1,8.98,12.3,215.5,110.9,63.3,51,355,10.67,6.47,7.28,2,4,14,PB
WilsRu00,Russell Wilson,QB,2019,31,SEA,NFL,QB,16,16,11-5-0,341,516,66.1,4110,31,6.0,5,1.0,190,49.6,60,8.0,8.73,12.1,256.9,106.3,71.5,48,319,8.51,6.72,7.42,4,5,15,"PB,AP-2,AP OPoY-4"
WilsRu00,Russell Wilson,QB,2020,32,SEA,NFL,QB,16,16,12-4-0,384,558,68.8,4212,40,7.2,13,2.3,213,51.4,62,7.5,7.93,11.0,263.3,105.1,67.1,47,301,7.77,6.46,6.82,3,3,17,PB
WilsRu00,Russell Wilson,QB,2021,33,SEA,NFL,QB,14,14,6-8-0,259,400,64.8,3113,25,6.3,6,1.5,135,44.6,69,7.8,8.36,12.0,222.4,103.1,60.6,33,266,7.62,6.58,7.11,0,1,12,PB
WilsRu00,Russell Wilson,QB,2022,34,DEN,NFL,QB,15,15,4-11-0,292,483,60.5,3524,16,3.3,11,2.3,142,36.2,67,7.3,6.93,12.1,234.9,84.4,38.7,55,368,10.22,5.87,5.54,3,3,9,
WilsRu00,Russell Wilson,QB,2023,35,DEN,NFL,QB,15,15,7-8-0,297,447,66.4,3070,26,5.8,8,1.8,135,43.3,60,6.9,7.23,10.3,204.7,98.0,51.5,45,258,9.15,5.72,6.04,4,4,12,
WilsRu00,Russell Wilson,QB,2024,36,PIT,NFL,QB,11,11,6-5-0,214,336,63.7,2482,16,4.8,5,1.5,112,43.6,46,7.4,7.67,11.6,225.6,95.6,47.9,33,219,8.94,6.13,6.39,1,1,9,"PB,AP CPoY-14"
WilsRu00,Russell Wilson,QB,2025,37,NYG,NFL,QB,5,3,0-3-0,66,112,58.9,786,3,2.7,3,2.7,31,39.2,52,7.0,6.35,11.9,157.2,78.2,30.1,8,53,6.67,6.11,5.48,0,0,,
