player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
WinsJa00,Jameis Winston,QB,2015,21,TAM,NFL,QB,16,16,6-10-0,312,535,58.3,4042,22,4.1,15,2.8,201,45.6,68,7.6,7.12,13.0,252.6,84.2,57.2,27,190,4.80,6.85,6.44,2,3,13,"PB,AP ORoY-2"
WinsJa00,Jameis Winston,QB,2016,22,TAM,NFL,QB,16,16,9-7-0,345,567,60.8,4090,28,4.9,18,3.2,216,47.8,45,7.2,6.77,11.9,255.6,86.1,59.5,35,239,5.81,6.40,5.98,1,3,12,
WinsJa00,Jameis Winston,QB,2017,23,TAM,NFL,QB,13,13,3-10-0,282,442,63.8,3504,19,4.3,11,2.5,185,49.7,70,7.9,7.67,12.4,269.5,92.2,52.1,33,207,6.95,6.94,6.70,2,2,10,
WinsJa00,Jameis Winston,QB,2018,24,TAM,NFL,QB,11,9,3-6-0,244,378,64.6,2992,19,5.0,14,3.7,152,50.6,64,7.9,7.25,12.3,272.0,90.2,66.2,27,157,6.67,7.00,6.38,0,1,9,
WinsJa00,Jameis Winston,QB,2019,25,TAM,NFL,QB,16,16,7-9-0,380,626,60.7,5109,33,5.3,30,4.8,243,46.7,71,8.2,7.06,13.4,319.3,84.3,55.7,47,282,6.98,7.17,6.15,2,2,15,
WinsJa00,Jameis Winston,QB,2020,26,NOR,NFL,QB,4,0,,7,11,63.6,75,0,0.0,0,0.0,5,38.5,19,6.8,6.82,10.7,18.8,83.5,12.0,2,11,15.38,4.92,4.92,0,0,0,
WinsJa00,Jameis Winston,QB,2021,27,NOR,NFL,QB,7,7,5-2-0,95,161,59.0,1170,14,8.7,3,1.9,56,44.8,72,7.3,8.17,12.3,167.1,102.8,69.8,11,69,6.40,6.40,7.24,0,1,5,
WinsJa00,Jameis Winston,QB,2022,28,NOR,NFL,QB,3,3,1-2-0,73,115,63.5,858,4,3.5,5,4.3,35,43.7,51,7.5,6.20,11.8,286.0,79.5,34.7,11,74,8.73,6.22,5.07,1,1,2,
WinsJa00,Jameis Winston,QB,2023,29,NOR,NFL,QB,7,0,,25,47,53.2,264,2,4.3,3,6.4,10,32.7,30,5.6,3.60,10.6,37.7,57.4,36.4,2,13,4.08,5.12,3.18,0,0,1,
WinsJa00,Jameis Winston,QB,2024,30,CLE,NFL,QB,12,7,2-5-0,181,296,61.1,2121,13,4.4,12,4.1,103,44.1,89,7.2,6.22,11.7,176.8,80.6,52.2,24,130,7.50,6.22,5.35,2,2,4,
