player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
TannRy00,Ryan Tannehill,QB,2012,24,MIA,NFL,QB,16,16,49,211,2,16,42.9,31,4.3,13.2,3.1,0,0,0,,0,0,,,0.0,0.0,,,49,4.3,211,2,9,
TannRy00,Ryan Tannehill,QB,2013,25,MIA,NFL,QB,16,16,40,238,1,12,47.5,48,6.0,14.9,2.5,0,0,0,,0,0,,,0.0,0.0,,,40,6.0,238,1,9,
TannRy00,Ryan Tannehill,QB,2014,26,MIA,NFL,QB,16,16,56,311,1,18,55.4,40,5.6,19.4,3.5,1,1,-4,-4.0,0,0,0.0,,0.1,-0.3,100.0,-4.0,57,5.4,307,1,9,
TannRy00,Ryan Tannehill,QB,2015,27,MIA,NFL,QB,16,16,32,141,1,8,37.5,28,4.4,8.8,2.0,1,1,9,9.0,0,1,100.0,9,0.1,0.6,100.0,9.0,33,4.5,150,1,10,
TannRy00,Ryan Tannehill,QB,2016,28,MIA,NFL,QB,13,13,39,164,1,11,48.7,18,4.2,12.6,3.0,0,0,0,,0,0,,,0.0,0.0,,,39,4.2,164,1,9,
TannRy00,Ryan Tannehill,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TannRy00,Ryan Tannehill,QB,2018,30,MIA,NFL,QB,11,11,32,145,0,9,40.6,20,4.5,13.2,2.9,1,1,3,3.0,1,1,100.0,3,0.1,0.3,100.0,3.0,33,4.5,148,1,5,
TannRy00,Ryan Tannehill,QB,2019,31,TEN,NFL,QB,12,10,43,185,4,14,46.5,25,4.3,15.4,3.6,0,0,0,,0,0,,,0.0,0.0,,,43,4.3,185,4,5,"PB,AP CPoY-1"
TannRy00,Ryan Tannehill,QB,2020,32,TEN,NFL,QB,16,16,43,266,7,22,67.4,45,6.2,16.6,2.7,1,1,0,0.0,0,0,0.0,,0.1,0.0,100.0,0.0,44,6.0,266,7,6,
TannRy00,Ryan Tannehill,QB,2021,33,TEN,NFL,QB,17,17,55,270,7,33,65.5,28,4.9,15.9,3.2,0,0,0,,0,0,,,0.0,0.0,,,55,4.9,270,7,10,
TannRy00,Ryan Tannehill,QB,2022,34,TEN,NFL,QB,12,12,34,98,2,12,44.1,17,2.9,8.2,2.8,0,0,0,,0,0,,,0.0,0.0,,,34,2.9,98,2,3,
TannRy00,Ryan Tannehill,QB,2023,35,TEN,NFL,QB,10,8,17,74,1,4,35.3,23,4.4,7.4,1.7,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,17,4.4,74,1,4,
