player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
FaulMa00,Marshall Faulk,RB,1994,21,IND,NFL,RB,16,16,314,1282,11,58,43.3,52,4.1,80.1,19.6,74,52,522,10.0,1,22,44.6,85,3.3,32.6,70.3,7.1,366,4.9,1804,12,5,16,"PB,AP-2,AP ORoY-1"
FaulMa00,Marshall Faulk,RB,1995,22,IND,NFL,RB,16,16,289,1078,11,68,47.1,40,3.7,67.4,18.1,75,56,475,8.5,3,18,50.7,34,3.5,29.7,74.7,6.3,345,4.5,1553,14,8,13,"PB,AP-2"
FaulMa00,Marshall Faulk,RB,1996,23,IND,NFL,RB,13,13,198,587,7,41,39.9,43,3.0,45.2,15.2,80,56,428,7.6,0,18,47.5,30,4.3,32.9,70.0,5.4,254,4.0,1015,7,2,8,
FaulMa00,Marshall Faulk,RB,1997,24,IND,NFL,RB,16,16,264,1054,7,65,48.1,45,4.0,65.9,16.5,73,47,471,10.0,1,15,35.6,58,2.9,29.4,64.4,6.5,311,4.9,1525,8,5,12,
FaulMa00,Marshall Faulk,RB,1998,25,IND,NFL,RB,16,15,324,1319,6,62,43.2,68,4.1,82.4,20.3,106,86,908,10.6,4,44,59.4,78,5.4,56.8,81.1,8.6,410,5.4,2227,10,3,18,"PB,AP-2,AP OPoY-4"
FaulMa00,Marshall Faulk,RB,1999,26,STL,NFL,RB,16,16,253,1381,7,70,48.2,58,5.5,86.3,15.8,104,87,1048,12.0,5,40,57.7,57,5.4,65.5,83.7,10.1,340,7.1,2429,12,2,25,"PB,AP-1,AP MVP-2,AP OPoY-1"
FaulMa00,Marshall Faulk,RB,2000,27,STL,NFL,RB,14,14,253,1359,18,78,55.7,36,5.4,97.1,18.1,113,81,830,10.2,8,42,54.0,72,5.8,59.3,71.7,7.3,334,6.6,2189,26,0,22,"PB,AP-1,AP MVP-1,AP OPoY-1"
FaulMa00,Marshall Faulk,RB,2001,28,STL,NFL,RB,14,14,260,1382,12,70,54.6,71,5.3,98.7,18.6,104,83,765,9.2,9,40,62.5,65,5.9,54.6,79.8,7.4,343,6.3,2147,21,3,22,"PB,AP-1,AP MVP-2,AP OPoY-1"
FaulMa00,Marshall Faulk,RB,2002,29,STL,NFL,RB,14,10,212,953,8,54,50.0,44,4.5,68.1,15.1,102,80,537,6.7,2,23,44.1,40,5.7,38.4,78.4,5.3,292,5.1,1490,10,4,9,PB
FaulMa00,Marshall Faulk,RB,2003,30,STL,NFL,RB,11,11,209,818,10,51,43.1,52,3.9,74.4,19.0,61,45,290,6.4,1,11,36.1,30,4.1,26.4,73.8,4.8,254,4.4,1108,11,0,9,AP CPoY-11
FaulMa00,Marshall Faulk,RB,2004,31,STL,NFL,RB,14,14,195,774,3,46,46.2,40,4.0,55.3,13.9,65,50,310,6.2,1,12,40.0,25,3.6,22.1,76.9,4.8,245,4.4,1084,4,2,6,
FaulMa00,Marshall Faulk,RB,2005,32,STL,NFL,RB,16,1,65,292,0,15,46.2,20,4.5,18.3,4.1,57,44,291,6.6,1,18,43.9,18,2.8,18.2,77.2,5.1,109,5.3,583,1,2,4,
