player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
SmitEm00,Emmitt Smith,RB,1990,21,DAL,NFL,RB,16,15,241,937,11,59,44.0,48,3.9,58.6,15.1,39,24,228,9.5,0,6,33.3,57,1.5,14.3,61.5,5.8,265,4.4,1165,11,7,8,"PB,AP ORoY-1"
SmitEm00,Emmitt Smith,RB,1991,22,DAL,NFL,RB,16,16,365,1563,12,77,46.0,75,4.3,97.7,22.8,60,49,258,5.3,1,10,38.3,14,3.1,16.1,81.7,4.3,414,4.4,1821,13,8,17,"PB,AP-2"
SmitEm00,Emmitt Smith,RB,1992,23,DAL,NFL,RB,16,16,373,1713,18,91,50.4,68,4.6,107.1,23.3,74,59,335,5.7,1,12,37.8,26,3.7,20.9,79.7,4.5,432,4.7,2048,19,4,21,"PB,AP-1,AP MVP-3,AP OPoY-3"
SmitEm00,Emmitt Smith,RB,1993,24,DAL,NFL,RB,14,13,283,1486,9,74,57.6,62,5.3,106.1,20.2,65,57,414,7.3,1,13,43.1,86,4.1,29.6,87.7,6.4,340,5.6,1900,10,4,20,"PB,AP-1,AP MVP-1,AP OPoY-3"
SmitEm00,Emmitt Smith,RB,1994,25,DAL,NFL,RB,15,15,368,1484,21,101,50.5,46,4.0,98.9,24.5,60,50,341,6.8,1,12,46.7,68,3.3,22.7,83.3,5.7,418,4.4,1825,22,1,17,"PB,AP-1"
SmitEm00,Emmitt Smith,RB,1995,26,DAL,NFL,RB,16,16,377,1773,25,107,51.5,60,4.7,110.8,23.6,78,62,375,6.0,0,14,32.1,40,3.9,23.4,79.5,4.8,439,4.9,2148,25,7,20,"PB,AP-1,AP MVP-3,AP OPoY-2"
SmitEm00,Emmitt Smith,RB,1996,27,DAL,NFL,RB,15,15,327,1204,12,75,47.1,42,3.7,80.3,21.8,57,47,249,5.3,3,12,40.4,21,3.1,16.6,82.5,4.4,374,3.9,1453,15,5,9,
SmitEm00,Emmitt Smith,RB,1997,28,DAL,NFL,RB,16,16,261,1074,4,47,44.4,44,4.1,67.1,16.3,48,40,234,5.9,0,6,35.4,24,2.5,14.6,83.3,4.9,301,4.3,1308,4,1,8,
SmitEm00,Emmitt Smith,RB,1998,29,DAL,NFL,RB,16,16,319,1332,13,89,52.7,32,4.2,83.3,19.9,32,27,175,6.5,2,8,62.5,24,1.7,10.9,84.4,5.5,346,4.4,1507,15,3,11,PB
SmitEm00,Emmitt Smith,RB,1999,30,DAL,NFL,RB,15,15,329,1397,11,86,48.6,63,4.2,93.1,21.9,31,27,119,4.4,2,4,41.9,14,1.8,7.9,87.1,3.8,356,4.3,1516,13,5,11,PB
SmitEm00,Emmitt Smith,RB,2000,31,DAL,NFL,RB,16,16,294,1203,9,66,46.3,52,4.1,75.2,18.4,14,11,79,7.2,0,2,50.0,19,0.7,4.9,78.6,5.6,305,4.2,1282,9,6,10,
SmitEm00,Emmitt Smith,RB,2001,32,DAL,NFL,RB,14,14,261,1021,3,48,37.9,44,3.9,72.9,18.6,21,17,116,6.8,0,6,57.1,22,1.2,8.3,81.0,5.5,278,4.1,1137,3,1,6,
SmitEm00,Emmitt Smith,RB,2002,33,DAL,NFL,RB,16,16,254,975,5,50,41.7,30,3.8,60.9,15.9,24,16,89,5.6,0,4,33.3,17,1.0,5.6,66.7,3.7,270,3.9,1064,5,3,4,
SmitEm00,Emmitt Smith,RB,2003,34,ARI,NFL,RB,10,5,90,256,2,15,38.9,22,2.8,25.6,9.0,19,14,107,7.6,0,4,42.1,36,1.4,10.7,73.7,5.6,104,3.5,363,2,2,2,
SmitEm00,Emmitt Smith,RB,2004,35,ARI,NFL,RB,15,15,267,937,9,43,38.2,29,3.5,62.5,17.8,20,15,105,7.0,0,3,45.0,18,1.0,7.0,75.0,5.3,282,3.7,1042,9,4,5,
